instantiations;compile-time [s]
1000;0.549
2000;0.769
3000;1.004
4000;1.265
5000;1.467
6000;1.703
7000;1.941
8000;2.170
9000;2.406
10000;2.636
11000;2.879
12000;3.115
13000;3.387
14000;3.586
15000;3.873
16000;4.050
17000;4.305
18000;4.559
19000;4.767
20000;4.961
21000;5.153
22000;5.429
23000;5.689
24000;5.906
25000;6.171
26000;6.374
27000;6.590
28000;6.879
29000;7.048
30000;7.268
31000;7.448
32000;7.690
33000;7.933
34000;8.201
35000;8.341
36000;8.658
37000;8.865
38000;9.048
39000;9.332
40000;9.730
41000;9.787
42000;10.144
43000;10.279
44000;10.614
45000;10.798
46000;11.077
47000;11.189
48000;11.628
49000;11.635
50000;12.078
51000;12.324
52000;12.575
53000;12.832
54000;12.912
55000;13.338
56000;13.461
57000;13.636
58000;13.907
59000;14.134
60000;14.338
61000;14.389
62000;14.734
63000;15.061
64000;15.072
65000;15.404
66000;15.693
67000;15.764
68000;16.142
69000;16.382
70000;16.633
71000;16.845
72000;16.989
73000;17.480
74000;17.467
75000;17.921
76000;17.952
77000;18.318
78000;18.431
79000;18.712
80000;19.198
81000;19.243
82000;19.367
83000;19.755
84000;19.998
85000;20.063
86000;20.375
87000;20.474
88000;20.988
89000;21.116
90000;21.375
91000;21.754
92000;21.916
93000;22.111
94000;22.277
95000;22.503
96000;22.853
97000;23.026
98000;23.297
99000;23.594
100000;24.012
101000;24.302
102000;24.394
103000;24.834
104000;24.982
105000;25.078
106000;25.309
107000;25.617
108000;25.764
109000;25.966
110000;26.096
111000;26.187
112000;26.498
113000;26.797
114000;27.176
115000;27.432
116000;27.484
117000;27.788
118000;27.883
119000;28.443
120000;28.656
121000;28.695
122000;28.887
123000;29.059
124000;29.270
125000;29.537
126000;29.989
127000;29.822
128000;30.159
129000;30.727
130000;30.874
131000;30.997
132000;31.132
133000;31.521
134000;31.958
135000;31.756
136000;32.240
137000;32.532
138000;32.778
139000;32.832
140000;33.260
141000;33.471
142000;33.596
143000;33.717
144000;33.957
145000;34.361
146000;34.629
147000;34.842
148000;34.987
149000;35.135
150000;35.447
151000;35.625
152000;35.792
153000;36.613
154000;36.401
155000;36.630
156000;36.979
157000;37.037
158000;37.418
159000;37.940
160000;38.169
161000;37.936
162000;38.353
163000;38.603
164000;38.991
165000;39.086
166000;39.366
167000;39.485
168000;39.954
169000;40.042
170000;40.203
171000;40.261
172000;40.803
173000;41.000
174000;41.226
175000;41.404
176000;41.838
177000;42.053
178000;42.133
179000;42.637
180000;42.950
181000;42.959
182000;42.992
183000;43.404
184000;43.645
185000;43.816
186000;44.194
187000;44.072
188000;44.796
189000;45.135
190000;45.239
191000;45.293
192000;45.788
193000;46.061
194000;46.354
195000;46.375
196000;46.562
197000;47.108
198000;47.521
199000;47.180
200000;47.828
201000;47.748
202000;48.379
203000;48.286
204000;48.822
205000;48.719
206000;49.639
207000;49.056
208000;50.044
209000;49.818
210000;50.346
211000;50.407
212000;50.118
213000;50.682
214000;50.778
215000;51.068
216000;51.394
217000;52.212
218000;51.627
219000;52.173
220000;52.430
221000;52.771
222000;52.655
223000;52.995
224000;53.339
225000;53.502
226000;53.946
227000;53.928
228000;54.002
229000;54.614
230000;54.707
231000;54.784
232000;54.836
233000;55.729
234000;55.596
235000;55.651
236000;56.102
237000;56.358
238000;56.933
239000;56.567
240000;57.185
241000;57.245
242000;57.311
243000;57.764
244000;57.804
245000;57.678
246000;58.484
247000;58.414
248000;58.839
249000;58.980
250000;59.319
