instantiations;compile-time [s]
100;0.055
200;0.096
300;0.080
400;0.109
500;0.080
600;0.087
700;0.096
800;0.124
900;0.132
1000;0.075
1100;0.140
1200;0.113
1300;0.151
1400;0.124
1500;0.157
1600;0.140
1700;0.176
1800;0.148
1900;0.150
2000;0.157
2100;0.186
2200;0.171
2300;0.172
2400;0.183
2500;0.208
2600;0.156
2700;0.188
2800;0.165
2900;0.194
3000;0.198
3100;0.208
3200;0.249
3300;0.246
3400;0.208
3500;0.224
3600;0.231
3700;0.266
3800;0.239
3900;0.260
4000;0.258
4100;0.234
4200;0.272
4300;0.273
4400;0.279
4500;0.267
4600;0.305
4700;0.299
4800;0.300
4900;0.304
5000;0.310
5100;0.331
5200;0.325
5300;0.339
5400;0.317
5500;0.352
5600;0.371
5700;0.306
5800;0.349
5900;0.346
6000;0.367
6100;0.362
6200;0.369
6300;0.396
6400;0.406
6500;0.407
6600;0.423
6700;0.429
6800;0.439
6900;0.404
7000;0.409
7100;0.431
7200;0.420
7300;0.411
7400;0.415
7500;0.439
7600;0.431
7700;0.445
7800;0.446
7900;0.439
8000;0.469
8100;0.433
8200;0.477
8300;0.509
8400;0.490
8500;0.511
8600;0.451
8700;0.479
8800;0.519
8900;0.514
9000;0.494
9100;0.505
9200;0.533
9300;0.532
9400;0.554
9500;0.551
9600;0.544
9700;0.561
9800;0.553
9900;0.585
10000;0.556
10100;0.570
10200;0.574
10300;0.614
10400;0.585
10500;0.598
10600;0.617
10700;0.610
10800;0.635
10900;0.590
11000;0.645
11100;0.665
11200;0.662
11300;0.662
11400;0.648
11500;0.674
11600;0.656
11700;0.693
11800;0.664
11900;0.656
12000;0.666
12100;0.666
12200;0.659
12300;0.695
12400;0.712
12500;0.717
12600;0.697
12700;0.690
12800;0.745
12900;0.721
13000;0.736
13100;0.735
13200;0.733
13300;0.762
13400;0.745
13500;0.779
13600;0.793
13700;0.782
13800;0.759
13900;0.784
14000;0.744
14100;0.845
14200;0.820
14300;0.814
14400;0.829
14500;0.833
14600;0.849
14700;0.823
14800;0.834
14900;0.837
15000;0.830
15100;0.867
15200;0.863
15300;0.875
15400;0.853
15500;0.863
15600;0.844
15700;0.910
15800;0.865
15900;0.935
16000;0.933
16100;0.900
16200;0.904
16300;0.941
16400;0.945
16500;0.920
16600;0.938
16700;0.954
16800;0.961
16900;0.964
17000;0.929
17100;0.954
17200;0.995
17300;0.983
17400;0.997
17500;0.974
17600;0.973
17700;0.953
17800;0.987
17900;0.996
18000;0.994
18100;1.013
18200;1.020
18300;1.007
18400;1.049
18500;1.031
18600;1.034
18700;1.008
18800;1.054
18900;1.019
19000;1.058
19100;1.079
19200;1.089
19300;1.260
19400;1.224
19500;1.280
19600;1.228
19700;1.249
19800;1.277
19900;1.291
20000;1.285
20100;1.311
20200;1.274
20300;1.314
20400;1.280
20500;1.306
20600;1.319
20700;1.320
20800;1.312
20900;1.374
21000;1.329
21100;1.344
21200;1.370
21300;1.345
21400;1.336
21500;1.341
21600;1.376
21700;1.386
21800;1.379
21900;1.375
22000;1.433
22100;1.371
22200;1.403
22300;1.454
22400;1.396
22500;1.452
22600;1.445
22700;1.446
22800;1.476
22900;1.441
23000;1.409
23100;1.476
23200;1.473
23300;1.489
23400;1.486
23500;1.503
23600;1.501
23700;1.580
23800;1.516
23900;1.470
24000;1.522
24100;1.520
24200;1.542
24300;1.554
24400;1.572
24500;1.660
24600;1.570
24700;1.605
24800;1.629
24900;1.598
25000;1.624
