instantiations;compile-time [s]
100;0.060
200;0.073
300;0.091
400;0.098
500;0.050
600;0.062
700;0.086
800;0.074
900;0.107
1000;0.072
1100;0.074
1200;0.076
1300;0.080
1400;0.105
1500;0.145
1600;0.146
1700;0.153
1800;0.126
1900;0.125
2000;0.143
2100;0.163
2200;0.172
2300;0.146
2400;0.144
2500;0.156
2600;0.174
2700;0.167
2800;0.171
2900;0.175
3000;0.181
3100;0.172
3200;0.183
3300;0.186
3400;0.209
3500;0.180
3600;0.183
3700;0.214
3800;0.226
3900;0.197
4000;0.222
4100;0.210
4200;0.228
4300;0.221
4400;0.246
4500;0.243
4600;0.238
4700;0.233
4800;0.274
4900;0.247
5000;0.245
5100;0.278
5200;0.265
5300;0.285
5400;0.255
5500;0.257
5600;0.300
5700;0.264
5800;0.285
5900;0.258
6000;0.291
6100;0.279
6200;0.301
6300;0.331
6400;0.296
6500;0.319
6600;0.343
6700;0.347
6800;0.313
6900;0.336
7000;0.323
7100;0.354
7200;0.326
7300;0.344
7400;0.368
7500;0.351
7600;0.367
7700;0.379
7800;0.353
7900;0.353
8000;0.390
8100;0.366
8200;0.396
8300;0.399
8400;0.409
8500;0.408
8600;0.411
8700;0.393
8800;0.421
8900;0.406
9000;0.422
9100;0.395
9200;0.393
9300;0.416
9400;0.426
9500;0.459
9600;0.420
9700;0.431
9800;0.419
9900;0.439
10000;0.436
10100;0.433
10200;0.479
10300;0.487
10400;0.485
10500;0.455
10600;0.447
10700;0.489
10800;0.478
10900;0.515
11000;0.476
11100;0.509
11200;0.498
11300;0.491
11400;0.534
11500;0.538
11600;0.501
11700;0.501
11800;0.515
11900;0.519
12000;0.485
12100;0.556
12200;0.552
12300;0.512
12400;0.543
12500;0.542
12600;0.544
12700;0.580
12800;0.566
12900;0.568
13000;0.570
13100;0.562
13200;0.589
13300;0.570
13400;0.615
13500;0.621
13600;0.614
13700;0.631
13800;0.626
13900;0.628
14000;0.643
14100;0.646
14200;0.631
14300;0.624
14400;0.657
14500;0.640
14600;0.630
14700;0.620
14800;0.653
14900;0.659
15000;0.645
15100;0.649
15200;0.638
15300;0.665
15400;0.669
15500;0.625
15600;0.668
15700;0.655
15800;0.714
15900;0.689
16000;0.678
16100;0.693
16200;0.718
16300;0.685
16400;0.746
16500;0.731
16600;0.756
16700;0.744
16800;0.717
16900;0.708
17000;0.737
17100;0.725
17200;0.746
17300;0.727
17400;0.773
17500;0.762
17600;0.809
17700;0.761
17800;0.749
17900;0.752
18000;0.788
18100;0.766
18200;0.795
18300;0.762
18400;0.777
18500;0.778
18600;0.767
18700;0.812
18800;0.812
18900;0.801
19000;0.794
19100;0.774
19200;0.862
19300;0.836
19400;0.809
19500;0.851
19600;0.871
19700;0.834
19800;0.819
19900;0.821
20000;0.895
20100;0.899
20200;0.877
20300;0.842
20400;0.852
20500;0.880
20600;0.911
20700;0.854
20800;0.872
20900;0.926
21000;0.873
21100;0.883
21200;0.889
21300;0.936
21400;0.929
21500;0.906
21600;0.949
21700;0.874
21800;0.948
21900;0.899
22000;0.936
22100;0.945
22200;0.921
22300;0.943
22400;0.951
22500;0.931
22600;0.988
22700;1.009
22800;1.007
22900;0.958
23000;0.972
23100;0.984
23200;0.995
23300;0.982
23400;0.995
23500;1.018
23600;1.170
23700;1.214
23800;1.207
23900;1.176
24000;1.178
24100;1.224
24200;1.176
24300;1.211
24400;1.212
24500;1.214
24600;1.291
24700;1.284
24800;1.234
24900;1.278
25000;1.318
