instantiations;compile-time [s]
1000;0.139
2000;0.244
3000;0.344
4000;0.437
5000;0.537
6000;0.637
7000;0.774
8000;0.888
9000;0.981
10000;1.126
11000;1.294
12000;1.379
13000;1.437
14000;1.570
15000;1.618
16000;1.742
17000;1.941
18000;2.025
19000;2.108
20000;2.237
21000;2.350
22000;2.364
23000;2.527
24000;2.688
25000;2.878
26000;2.937
27000;3.053
28000;3.198
29000;3.294
30000;3.230
31000;3.662
32000;3.680
33000;3.652
34000;3.899
35000;3.947
36000;4.071
37000;4.202
38000;4.343
39000;4.491
40000;4.370
41000;4.699
42000;4.565
43000;4.876
44000;5.392
45000;5.149
46000;5.296
47000;5.437
48000;5.433
49000;5.594
50000;5.528
51000;5.694
52000;5.967
53000;6.186
54000;6.049
55000;6.454
56000;6.408
57000;6.447
58000;6.393
59000;6.426
60000;7.531
61000;6.727
62000;7.305
63000;7.278
64000;7.375
65000;7.085
66000;7.720
67000;7.346
68000;7.378
69000;7.841
70000;8.366
71000;7.755
72000;8.164
73000;8.225
74000;8.102
75000;8.890
76000;8.755
77000;8.873
78000;8.659
79000;9.040
80000;9.541
81000;9.278
82000;9.167
83000;9.753
84000;10.224
85000;10.014
86000;9.909
87000;10.543
88000;10.175
89000;10.658
90000;10.540
91000;10.491
92000;10.747
93000;11.047
94000;10.676
95000;10.900
96000;10.674
97000;10.688
98000;11.243
99000;12.010
100000;11.271
101000;16.319
102000;11.822
103000;12.031
104000;12.078
105000;11.967
106000;12.119
107000;12.657
108000;12.380
109000;12.780
110000;13.456
111000;12.928
112000;12.620
113000;12.621
114000;13.281
115000;13.511
116000;13.633
117000;14.259
118000;14.045
119000;13.914
120000;13.992
121000;14.273
122000;14.356
123000;20.525
124000;14.421
125000;14.684
126000;14.799
127000;15.222
128000;15.026
129000;14.917
130000;14.426
131000;15.178
132000;14.933
133000;14.988
134000;15.976
135000;15.901
136000;16.051
137000;16.442
138000;16.609
139000;16.242
140000;17.435
141000;16.811
142000;16.723
143000;26.410
144000;17.388
145000;16.573
146000;17.694
147000;17.507
148000;18.119
149000;18.130
150000;18.136
151000;18.219
152000;17.232
153000;17.285
154000;18.073
155000;19.291
156000;18.608
157000;18.395
158000;18.967
159000;19.077
160000;19.088
161000;18.903
162000;19.590
163000;19.031
164000;19.566
165000;18.803
166000;19.446
167000;20.174
168000;18.967
169000;19.739
170000;19.321
171000;20.269
172000;19.091
173000;19.595
174000;19.399
175000;19.798
176000;20.766
177000;19.984
178000;20.101
179000;21.051
180000;20.293
181000;22.361
182000;22.363
183000;21.485
184000;20.736
185000;21.358
186000;21.727
187000;20.724
188000;22.893
189000;21.597
190000;22.932
191000;21.794
192000;23.089
193000;24.211
194000;23.884
195000;23.385
196000;24.622
197000;23.599
198000;23.119
199000;23.823
200000;24.643
201000;25.533
202000;24.806
203000;24.482
204000;24.288
205000;24.728
206000;25.429
207000;25.390
208000;25.773
209000;25.115
210000;24.352
211000;24.520
212000;26.215
213000;26.731
214000;24.997
215000;25.252
216000;26.336
217000;26.896
218000;26.462
219000;26.655
220000;25.335
221000;27.975
222000;27.718
223000;26.095
224000;27.241
225000;27.413
226000;27.769
227000;26.616
228000;28.252
229000;27.068
230000;29.369
231000;26.687
232000;28.165
233000;28.397
234000;29.994
235000;28.012
236000;29.501
237000;29.762
238000;29.170
239000;30.410
240000;27.727
241000;28.366
242000;28.318
243000;28.395
244000;32.112
245000;29.663
246000;30.920
247000;30.349
248000;29.292
249000;30.243
250000;30.214
251000;29.480
252000;31.237
253000;36.562
254000;31.171
255000;32.470
256000;32.475
257000;30.700
258000;31.222
259000;30.311
260000;32.038
261000;32.102
262000;30.816
263000;32.680
264000;32.347
265000;32.766
266000;31.815
267000;32.838
268000;34.866
269000;32.100
270000;32.140
271000;31.376
272000;33.958
273000;32.748
274000;32.238
275000;35.027
276000;35.136
277000;34.376
278000;33.947
279000;34.125
280000;33.429
281000;33.999
282000;35.339
283000;35.084
284000;35.034
285000;35.475
286000;35.262
287000;35.164
288000;34.491
289000;34.207
290000;34.578
291000;34.300
292000;35.343
293000;38.690
294000;38.006
295000;37.516
296000;35.339
297000;36.712
298000;38.556
299000;36.005
300000;37.557
301000;37.113
302000;34.900
303000;37.175
304000;36.711
305000;38.292
306000;36.671
307000;38.213
308000;36.668
309000;37.287
310000;36.384
311000;37.085
312000;38.211
313000;39.072
314000;39.199
315000;40.285
316000;40.126
317000;39.006
318000;39.427
319000;37.991
320000;38.636
321000;41.026
322000;39.228
323000;41.361
324000;41.543
325000;41.449
326000;41.145
327000;41.584
328000;39.178
329000;39.150
330000;40.880
331000;39.096
332000;40.353
333000;39.010
334000;41.962
335000;42.945
336000;42.856
337000;40.905
338000;40.344
339000;40.923
340000;42.616
341000;40.518
342000;42.508
343000;41.645
344000;42.436
345000;41.926
346000;43.788
347000;43.197
348000;45.070
349000;44.470
350000;43.167
351000;42.073
352000;45.557
353000;45.611
354000;47.181
355000;42.855
356000;46.245
357000;45.523
358000;43.811
359000;45.676
360000;66.069
361000;43.819
362000;45.640
363000;45.843
364000;46.949
365000;46.875
366000;47.674
367000;44.536
368000;44.693
369000;47.943
370000;48.106
371000;46.264
372000;45.122
373000;46.267
374000;49.570
375000;48.767
376000;46.255
377000;49.957
378000;50.604
379000;50.244
380000;48.619
381000;47.823
382000;46.609
383000;47.883
384000;51.173
385000;50.010
386000;50.656
387000;49.461
388000;49.746
389000;52.229
390000;47.814
391000;50.363
392000;49.877
393000;53.045
394000;50.215
395000;50.669
396000;51.284
397000;51.730
398000;53.628
399000;53.131
400000;53.428
401000;51.590
402000;54.029
403000;52.159
404000;51.959
405000;52.816
406000;53.262
407000;52.798
408000;55.440
409000;52.176
410000;55.228
411000;51.788
412000;51.197
413000;53.452
414000;51.808
415000;55.217
416000;57.661
417000;52.465
418000;57.339
419000;53.970
420000;56.373
421000;52.246
422000;55.542
423000;53.685
424000;52.281
425000;57.094
426000;55.085
427000;55.375
428000;56.551
429000;56.733
430000;54.102
431000;55.908
432000;56.337
433000;55.179
434000;54.722
435000;55.689
436000;58.467
437000;55.703
438000;57.536
439000;56.552
440000;55.459
441000;58.829
442000;58.909
443000;57.057
444000;54.345
445000;57.119
446000;61.020
447000;57.077
448000;57.259
449000;61.788
450000;58.087
451000;58.098
452000;59.267
453000;59.524
454000;59.254
455000;58.196
456000;62.694
457000;75.838
458000;62.825
459000;60.157
460000;85.845
461000;58.968
462000;59.159
463000;56.912
464000;56.758
465000;61.088
466000;62.731
467000;62.733
468000;66.574
469000;61.783
470000;62.053
471000;60.697
472000;62.581
473000;61.612
474000;60.733
475000;65.325
476000;63.053
477000;66.173
478000;61.592
479000;61.381
480000;63.536
481000;65.737
482000;60.527
483000;62.710
484000;61.871
485000;66.808
486000;65.987
487000;62.212
488000;63.642
489000;63.000
490000;63.254
491000;62.400
492000;63.558
493000;61.806
494000;67.035
495000;69.820
496000;68.228
497000;69.129
498000;67.663
499000;66.137
500000;67.311
501000;66.540
502000;66.558
503000;63.699
504000;68.802
505000;70.024
506000;69.990
507000;68.406
508000;67.017
509000;69.657
510000;69.124
511000;63.875
512000;67.281
513000;64.909
514000;70.022
515000;64.037
516000;69.976
517000;69.455
518000;71.814
519000;72.207
520000;66.453
521000;65.434
522000;65.143
523000;70.246
524000;70.150
525000;65.331
526000;74.260
527000;72.942
528000;71.661
529000;74.521
530000;71.558
531000;67.145
532000;72.746
533000;67.249
534000;69.680
535000;72.576
536000;76.033
537000;71.675
538000;71.757
539000;70.499
540000;74.770
541000;72.695
542000;72.690
543000;71.780
544000;71.823
545000;68.898
546000;77.217
547000;75.859
548000;75.786
549000;74.659
550000;69.590
551000;74.467
552000;74.583
553000;75.152
554000;75.772
555000;74.985
556000;76.392
557000;75.428
558000;75.249
559000;76.533
560000;76.535
561000;73.439
562000;76.353
563000;73.459
564000;75.178
565000;77.227
566000;76.983
567000;77.554
568000;76.739
569000;74.534
570000;76.775
571000;77.060
572000;76.587
573000;76.417
574000;77.172
575000;75.882
576000;78.515
577000;76.193
578000;79.223
579000;81.475
580000;76.899
581000;79.257
582000;79.147
583000;73.490
584000;77.936
585000;77.064
586000;80.059
587000;82.284
588000;78.603
589000;81.541
590000;80.083
591000;78.123
592000;79.451
593000;80.910
594000;81.326
595000;80.244
596000;85.013
597000;85.636
598000;80.485
599000;82.039
600000;79.627
601000;79.413
602000;84.034
603000;77.266
604000;86.801
605000;77.169
606000;85.634
607000;85.841
608000;86.852
609000;100.759
610000;86.554
611000;79.811
612000;81.753
613000;79.565
614000;83.821
615000;79.889
616000;82.306
617000;87.756
618000;91.603
619000;89.855
620000;85.930
621000;82.199
622000;85.091
623000;86.265
624000;82.924
625000;81.188
626000;86.734
627000;87.961
628000;87.408
629000;89.564
630000;85.901
631000;86.010
632000;81.475
633000;84.272
634000;83.361
635000;81.411
636000;84.665
637000;92.059
638000;90.012
639000;90.197
640000;86.443
641000;85.336
642000;87.281
643000;83.733
644000;82.264
645000;82.782
646000;87.949
647000;92.174
648000;91.094
649000;88.282
650000;83.398
651000;85.866
652000;89.268
653000;83.718
654000;91.815
655000;90.224
656000;86.593
657000;90.281
658000;99.535
659000;92.994
660000;85.496
661000;88.067
662000;87.608
663000;88.181
664000;90.322
665000;87.624
666000;88.856
667000;92.220
668000;95.021
669000;93.110
670000;88.189
671000;92.115
672000;87.794
673000;92.719
674000;90.333
675000;91.440
676000;91.453
677000;95.864
678000;101.152
679000;98.446
680000;89.123
681000;93.557
682000;91.720
683000;89.580
684000;91.630
685000;96.804
686000;96.461
687000;101.259
688000;99.786
689000;100.574
690000;96.391
691000;90.022
692000;96.734
693000;93.502
694000;92.929
695000;92.226
696000;93.927
697000;103.618
698000;104.180
699000;98.013
700000;94.045
701000;91.428
702000;113.619
703000;95.409
704000;91.808
705000;95.767
706000;96.556
707000;106.711
708000;103.853
709000;105.996
710000;94.779
711000;97.100
712000;100.467
713000;95.291
714000;98.385
715000;97.745
716000;95.806
717000;95.789
718000;109.373
719000;103.729
720000;101.673
721000;100.450
722000;101.567
723000;102.038
724000;102.884
725000;102.053
726000;99.628
727000;100.765
728000;109.999
729000;108.594
730000;102.920
731000;101.567
732000;98.685
733000;104.090
734000;96.077
735000;100.580
736000;96.490
737000;102.608
738000;110.704
739000;109.521
740000;106.176
741000;99.073
742000;101.249
743000;97.520
744000;106.485
745000;106.301
746000;102.829
747000;98.472
748000;110.446
749000;107.680
750000;106.268
751000;105.192
752000;101.251
753000;109.919
754000;104.779
755000;105.159
756000;104.685
757000;105.524
758000;108.758
759000;117.214
760000;109.854
761000;101.633
762000;110.963
763000;108.834
764000;108.987
765000;124.327
766000;111.006
767000;103.676
768000;112.532
769000;113.369
770000;109.583
771000;112.221
772000;110.502
773000;107.202
774000;108.744
775000;110.428
776000;109.942
777000;112.143
778000;119.143
779000;116.062
780000;121.307
781000;117.204
782000;113.194
783000;118.311
784000;111.149
785000;114.326
786000;114.670
787000;110.136
788000;129.931
789000;124.449
790000;115.849
791000;113.482
792000;114.063
793000;115.504
794000;135.804
795000;110.833
796000;117.719
797000;111.096
798000;128.361
799000;127.797
800000;126.849
801000;118.425
802000;120.669
803000;118.952
804000;115.456
805000;119.558
806000;116.396
807000;118.433
808000;125.150
809000;129.997
810000;121.311
811000;123.542
812000;113.383
813000;123.502
814000;123.465
