instantiations;compile-time [s]
100;0.062
200;0.068
300;0.060
400;0.059
500;0.038
600;0.057
700;0.068
800;0.076
900;0.075
1000;0.059
1100;0.077
1200;0.105
1300;0.086
1400;0.106
1500;0.075
1600;0.083
1700;0.082
1800;0.096
1900;0.062
2000;0.095
2100;0.122
2200;0.101
2300;0.067
2400;0.069
2500;0.105
2600;0.106
2700;0.074
2800;0.112
2900;0.104
3000;0.140
3100;0.091
3200;0.118
3300;0.149
3400;0.097
3500;0.150
3600;0.120
3700;0.095
3800;0.095
3900;0.099
4000;0.096
4100;0.129
4200;0.155
4300;0.131
4400;0.162
4500;0.143
4600;0.107
4700;0.114
4800;0.150
4900;0.138
5000;0.176
5100;0.178
5200;0.121
5300;0.180
5400;0.180
5500;0.152
5600;0.159
5700;0.183
5800;0.160
5900;0.128
6000;0.163
6100;0.160
6200;0.143
6300;0.215
6400;0.171
6500;0.180
6600;0.172
6700;0.181
6800;0.176
6900;0.205
7000;0.174
7100;0.187
7200;0.215
7300;0.214
7400;0.206
7500;0.189
7600;0.219
7700;0.195
7800;0.176
7900;0.197
8000;0.174
8100;0.168
8200;0.236
8300;0.234
8400;0.169
8500;0.233
8600;0.231
8700;0.234
8800;0.214
8900;0.217
9000;0.212
9100;0.223
9200;0.185
9300;0.253
9400;0.254
9500;0.224
9600;0.220
9700;0.224
9800;0.203
9900;0.236
10000;0.202
10100;0.263
10200;0.239
10300;0.236
10400;0.252
10500;0.271
10600;0.251
10700;0.255
10800;0.271
10900;0.273
11000;0.273
11100;0.277
11200;0.224
11300;0.251
11400;0.262
11500;0.236
11600;0.259
11700;0.258
11800;0.288
11900;0.282
12000;0.295
12100;0.279
12200;0.268
12300;0.279
12400;0.279
12500;0.278
12600;0.303
12700;0.294
12800;0.265
12900;0.293
13000;0.296
13100;0.289
13200;0.302
13300;0.321
13400;0.273
13500;0.295
13600;0.299
13700;0.304
13800;0.299
13900;0.321
14000;0.321
14100;0.311
14200;0.283
14300;0.359
14400;0.322
14500;0.300
14600;0.338
14700;0.331
14800;0.347
14900;0.331
15000;0.319
15100;0.323
15200;0.368
15300;0.335
15400;0.342
15500;0.343
15600;0.326
15700;0.337
15800;0.335
15900;0.351
16000;0.350
16100;0.319
16200;0.350
16300;0.350
16400;0.332
16500;0.355
16600;0.379
16700;0.363
16800;0.386
16900;0.361
17000;0.370
17100;0.366
17200;0.365
17300;0.366
17400;0.372
17500;0.353
17600;0.368
17700;0.380
17800;0.398
17900;0.345
18000;0.388
18100;0.376
18200;0.396
18300;0.377
18400;0.407
18500;0.367
18600;0.389
18700;0.387
18800;0.391
18900;0.399
19000;0.387
19100;0.391
19200;0.425
19300;0.413
19400;0.408
19500;0.408
19600;0.407
19700;0.374
19800;0.403
19900;0.405
20000;0.417
20100;0.398
20200;0.419
20300;0.403
20400;0.437
20500;0.447
20600;0.424
20700;0.397
20800;0.431
20900;0.407
21000;0.450
21100;0.434
21200;0.465
21300;0.425
21400;0.437
21500;0.443
21600;0.418
21700;0.438
21800;0.446
21900;0.441
22000;0.452
22100;0.456
22200;0.452
22300;0.495
22400;0.462
22500;0.441
22600;0.487
22700;0.446
22800;0.486
22900;0.463
23000;0.469
23100;0.493
23200;0.494
23300;0.464
23400;0.473
23500;0.502
23600;0.521
23700;0.487
23800;0.517
23900;0.506
24000;0.478
24100;0.527
24200;0.505
24300;0.517
24400;0.515
24500;0.545
24600;0.520
24700;0.524
24800;0.518
24900;0.528
25000;0.515
