instantiations;compile-time [s]
100;0.037
200;0.060
300;0.056
400;0.057
500;0.071
600;0.065
700;0.065
800;0.054
900;0.046
1000;0.048
1100;0.070
1200;0.063
1300;0.037
1400;0.058
1500;0.079
1600;0.036
1700;0.075
1800;0.063
1900;0.071
2000;0.039
2100;0.046
2200;0.040
2300;0.037
2400;0.040
2500;0.040
2600;0.039
2700;0.039
2800;0.042
2900;0.068
3000;0.056
3100;0.043
3200;0.058
3300;0.070
3400;0.063
3500;0.052
3600;0.065
3700;0.059
3800;0.070
3900;0.046
4000;0.102
4100;0.075
4200;0.086
4300;0.050
4400;0.059
4500;0.103
4600;0.051
4700;0.101
4800;0.057
4900;0.046
5000;0.050
5100;0.070
5200;0.079
5300;0.113
5400;0.063
5500;0.107
5600;0.068
5700;0.080
5800;0.080
5900;0.082
6000;0.051
6100;0.063
6200;0.083
6300;0.103
6400;0.106
6500;0.078
6600;0.080
6700;0.068
6800;0.056
6900;0.093
7000;0.070
7100;0.114
7200;0.064
7300;0.072
7400;0.081
7500;0.057
7600;0.093
7700;0.090
7800;0.083
7900;0.085
8000;0.061
8100;0.114
8200;0.071
8300;0.088
8400;0.089
8500;0.067
8600;0.063
8700;0.060
8800;0.064
8900;0.070
9000;0.062
9100;0.071
9200;0.067
9300;0.091
9400;0.087
9500;0.062
9600;0.114
9700;0.099
9800;0.126
9900;0.095
10000;0.122
10100;0.120
10200;0.097
10300;0.123
10400;0.123
10500;0.119
10600;0.102
10700;0.098
10800;0.123
10900;0.095
11000;0.095
11100;0.120
11200;0.072
11300;0.075
11400;0.099
11500;0.097
11600;0.082
11700;0.072
11800;0.080
11900;0.105
12000;0.096
12100;0.104
12200;0.073
12300;0.097
12400;0.073
12500;0.074
12600;0.084
12700;0.074
12800;0.074
12900;0.135
13000;0.077
13100;0.112
13200;0.121
13300;0.081
13400;0.107
13500;0.114
13600;0.078
13700;0.104
13800;0.114
13900;0.084
14000;0.132
14100;0.079
14200;0.110
14300;0.110
14400;0.117
14500;0.109
14600;0.108
14700;0.108
14800;0.108
14900;0.115
15000;0.154
15100;0.115
15200;0.134
15300;0.111
15400;0.140
15500;0.156
15600;0.088
15700;0.156
15800;0.139
15900;0.093
16000;0.110
16100;0.088
16200;0.147
16300;0.127
16400;0.148
16500;0.125
16600;0.087
16700;0.117
16800;0.119
16900;0.153
17000;0.125
17100;0.121
17200;0.100
17300;0.114
17400;0.140
17500;0.119
17600;0.136
17700;0.126
17800;0.095
17900;0.123
18000;0.148
18100;0.121
18200;0.146
18300;0.167
18400;0.137
18500;0.126
18600;0.152
18700;0.098
18800;0.125
18900;0.126
19000;0.157
19100;0.135
19200;0.131
19300;0.124
19400;0.102
19500;0.128
19600;0.136
19700;0.155
19800;0.138
19900;0.158
20000;0.139
20100;0.126
20200;0.162
20300;0.105
20400;0.131
20500;0.122
20600;0.136
20700;0.105
20800;0.163
20900;0.160
21000;0.141
21100;0.132
21200;0.128
21300;0.142
21400;0.140
21500;0.135
21600;0.139
21700;0.138
21800;0.135
21900;0.164
22000;0.134
22100;0.138
22200;0.143
22300;0.170
22400;0.139
22500;0.137
22600;0.134
22700;0.135
22800;0.139
22900;0.112
23000;0.117
23100;0.169
23200;0.133
23300;0.166
23400;0.113
23500;0.139
23600;0.139
23700;0.134
23800;0.145
23900;0.150
24000;0.168
24100;0.146
24200;0.146
24300;0.144
24400;0.145
24500;0.175
24600;0.145
24700;0.145
24800;0.195
24900;0.177
25000;0.156
