instantiations;compile-time [s]
100;0.062
200;0.062
300;0.039
400;0.035
500;0.036
600;0.045
700;0.044
800;0.041
900;0.042
1000;0.046
1100;0.048
1200;0.065
1300;0.052
1400;0.053
1500;0.080
1600;0.084
1700;0.082
1800;0.063
1900;0.054
2000;0.057
2100;0.060
2200;0.110
2300;0.064
2400;0.063
2500;0.083
2600;0.071
2700;0.095
2800;0.066
2900;0.068
3000;0.071
3100;0.100
3200;0.073
3300;0.095
3400;0.132
3500;0.080
3600;0.103
3700;0.086
3800;0.107
3900;0.142
4000;0.084
4100;0.108
4200;0.117
4300;0.115
4400;0.144
4500;0.101
4600;0.115
4700;0.150
4800;0.121
4900;0.118
5000;0.136
5100;0.127
5200;0.131
5300;0.102
5400;0.138
5500;0.137
5600;0.142
5700;0.127
5800;0.160
5900;0.134
6000;0.139
6100;0.172
6200;0.187
6300;0.174
6400;0.144
6500;0.152
6600;0.176
6700;0.170
6800;0.154
6900;0.179
7000;0.150
7100;0.145
7200;0.157
7300;0.165
7400;0.192
7500;0.163
7600;0.166
7700;0.191
7800;0.169
7900;0.169
8000;0.182
8100;0.139
8200;0.194
8300;0.172
8400;0.163
8500;0.200
8600;0.149
8700;0.169
8800;0.206
8900;0.184
9000;0.209
9100;0.202
9200;0.196
9300;0.189
9400;0.212
9500;0.157
9600;0.197
9700;0.168
9800;0.219
9900;0.221
10000;0.194
10100;0.222
10200;0.202
10300;0.201
10400;0.196
10500;0.207
10600;0.227
10700;0.231
10800;0.200
10900;0.233
11000;0.239
11100;0.207
11200;0.209
11300;0.240
11400;0.219
11500;0.245
11600;0.225
11700;0.213
11800;0.193
11900;0.247
12000;0.227
12100;0.250
12200;0.217
12300;0.253
12400;0.229
12500;0.238
12600;0.230
12700;0.201
12800;0.241
12900;0.235
13000;0.264
13100;0.262
13200;0.237
13300;0.233
13400;0.252
13500;0.243
13600;0.274
13700;0.242
13800;0.269
13900;0.278
14000;0.275
14100;0.250
14200;0.281
14300;0.276
14400;0.277
14500;0.282
14600;0.251
14700;0.284
14800;0.289
14900;0.259
15000;0.286
15100;0.294
15200;0.261
15300;0.297
15400;0.279
15500;0.296
15600;0.271
15700;0.296
15800;0.271
15900;0.300
16000;0.286
16100;0.269
16200;0.300
16300;0.308
16400;0.278
16500;0.302
16600;0.306
16700;0.313
16800;0.311
16900;0.310
17000;0.287
17100;0.321
17200;0.315
17300;0.297
17400;0.313
17500;0.315
17600;0.299
17700;0.333
17800;0.309
17900;0.326
18000;0.349
18100;0.326
18200;0.313
18300;0.302
18400;0.336
18500;0.333
18600;0.341
18700;0.334
18800;0.309
18900;0.334
19000;0.313
19100;0.309
19200;0.326
19300;0.341
19400;0.336
19500;0.289
19600;0.345
19700;0.337
19800;0.320
19900;0.330
20000;0.321
20100;0.324
20200;0.359
20300;0.358
20400;0.329
20500;0.317
20600;0.338
20700;0.347
20800;0.367
20900;0.335
21000;0.348
21100;0.351
21200;0.369
21300;0.363
21400;0.373
21500;0.344
21600;0.350
21700;0.373
21800;0.372
21900;0.352
22000;0.379
22100;0.362
22200;0.325
22300;0.353
22400;0.349
22500;0.356
22600;0.378
22700;0.394
22800;0.358
22900;0.367
23000;0.384
23100;0.394
23200;0.366
23300;0.370
23400;0.407
23500;0.399
23600;0.381
23700;0.403
23800;0.367
23900;0.388
24000;0.399
24100;0.394
24200;0.402
24300;0.380
24400;0.414
24500;0.408
24600;0.440
24700;0.413
24800;0.397
24900;0.430
25000;0.406
