instantiations;compile-time [s]
1000;0.074
2000;0.106
3000;0.141
4000;0.172
5000;0.216
6000;0.255
7000;0.278
8000;0.314
9000;0.346
10000;0.406
11000;0.411
12000;0.453
13000;0.504
14000;0.542
15000;0.572
16000;0.619
17000;0.644
18000;0.656
19000;0.713
20000;0.742
21000;0.748
22000;0.814
23000;0.849
24000;0.853
25000;0.888
26000;0.917
27000;0.992
28000;0.991
29000;1.051
30000;1.051
31000;1.114
32000;1.114
33000;1.153
34000;1.218
35000;1.211
36000;1.329
37000;1.384
38000;1.314
39000;1.358
40000;1.440
41000;1.497
42000;1.538
43000;1.495
44000;1.683
45000;1.590
46000;1.596
47000;1.677
48000;1.719
49000;1.778
50000;1.734
51000;1.768
52000;1.920
53000;1.838
54000;1.949
55000;2.040
56000;1.933
57000;1.967
58000;2.083
59000;2.099
60000;2.274
61000;2.094
62000;2.128
63000;2.208
64000;2.191
65000;2.217
66000;2.275
67000;2.272
68000;2.444
69000;2.394
70000;2.507
71000;2.440
72000;2.569
73000;2.600
74000;2.523
75000;2.581
76000;2.746
77000;2.767
78000;2.781
79000;2.699
80000;2.756
81000;2.913
82000;2.917
83000;2.838
84000;2.911
85000;3.024
86000;3.062
87000;3.095
88000;3.256
89000;3.313
90000;3.224
91000;3.243
92000;3.170
93000;3.209
94000;3.226
95000;3.379
96000;3.506
97000;3.343
98000;3.361
99000;3.408
100000;3.583
101000;3.573
102000;3.536
103000;3.855
104000;3.649
105000;3.621
106000;3.658
107000;3.900
108000;3.725
109000;3.911
110000;3.923
111000;4.434
112000;3.880
113000;4.201
114000;4.052
115000;4.110
116000;3.994
117000;4.139
118000;4.067
119000;4.096
120000;4.112
121000;4.126
122000;4.438
123000;4.554
124000;4.578
125000;4.293
126000;4.319
127000;4.513
128000;4.400
129000;4.708
130000;4.520
131000;4.590
132000;4.637
133000;4.797
134000;4.627
135000;4.824
136000;5.180
137000;4.772
138000;4.815
139000;4.754
140000;5.051
141000;5.040
142000;5.081
143000;4.924
144000;5.085
145000;5.387
146000;5.329
147000;5.274
148000;5.423
149000;5.089
150000;5.300
151000;5.402
152000;5.514
153000;5.230
154000;5.263
155000;5.302
156000;5.729
157000;5.510
158000;5.590
159000;5.541
160000;5.901
161000;5.982
162000;5.834
163000;5.648
164000;6.000
165000;6.024
166000;5.757
167000;6.013
168000;6.031
169000;6.002
170000;6.198
171000;5.894
172000;6.113
173000;6.158
174000;6.339
175000;6.440
176000;6.231
177000;6.359
178000;6.402
179000;6.437
180000;6.422
181000;6.868
182000;6.244
183000;6.510
184000;6.792
185000;6.329
186000;6.386
187000;6.643
188000;7.072
189000;7.118
190000;6.969
191000;6.980
192000;6.849
193000;7.170
194000;7.290
195000;6.911
196000;7.412
197000;7.287
198000;7.335
199000;7.370
200000;6.859
201000;7.192
202000;7.223
203000;7.581
204000;7.386
205000;7.642
206000;7.794
207000;7.327
208000;7.572
209000;7.857
210000;7.290
211000;7.666
212000;7.916
213000;7.330
214000;7.698
215000;8.055
216000;8.039
217000;7.839
218000;7.940
219000;7.744
220000;8.256
221000;7.604
222000;8.092
223000;8.034
224000;8.130
225000;8.201
226000;8.112
227000;8.282
228000;8.091
229000;8.619
230000;8.057
231000;8.344
232000;8.040
233000;8.336
234000;8.124
235000;8.891
236000;8.925
237000;8.642
238000;8.210
239000;8.272
240000;8.995
241000;8.446
242000;8.435
243000;8.449
244000;8.892
245000;8.929
246000;8.764
247000;9.271
248000;8.879
249000;9.007
250000;9.468
251000;9.169
252000;9.022
253000;9.056
254000;9.610
255000;9.181
256000;9.637
257000;9.304
258000;9.467
259000;9.853
260000;9.916
261000;9.405
262000;9.694
263000;9.626
264000;9.737
265000;9.393
266000;9.241
267000;9.625
268000;10.200
269000;9.965
270000;10.161
271000;9.384
272000;10.252
273000;9.972
274000;9.845
275000;10.396
276000;10.120
277000;9.645
278000;9.735
279000;10.535
280000;9.961
281000;10.412
282000;9.771
283000;10.013
284000;10.531
285000;9.907
286000;10.014
287000;10.449
288000;10.886
289000;10.956
290000;10.624
291000;10.515
292000;10.507
293000;10.250
294000;11.036
295000;10.521
296000;10.725
297000;10.871
298000;11.306
299000;10.966
300000;11.366
301000;11.212
302000;11.008
303000;11.179
304000;10.942
305000;11.422
306000;11.341
307000;10.827
308000;11.653
309000;10.927
310000;11.822
311000;11.212
312000;11.716
313000;11.459
314000;11.690
315000;11.685
316000;10.984
317000;11.305
318000;12.045
319000;11.294
320000;11.477
321000;12.124
322000;11.721
323000;12.244
324000;11.888
325000;12.292
326000;11.802
327000;12.381
328000;12.212
329000;11.950
330000;12.578
331000;12.479
332000;12.645
333000;12.519
334000;12.695
335000;12.667
336000;12.172
337000;12.380
338000;12.409
339000;12.710
340000;12.564
341000;12.879
342000;12.497
343000;12.741
344000;13.145
345000;12.286
346000;12.564
347000;13.088
348000;12.856
349000;12.506
350000;12.864
351000;14.125
352000;13.009
353000;12.260
354000;12.761
355000;12.477
356000;13.445
357000;13.066
358000;13.575
359000;12.729
360000;13.344
361000;13.127
362000;12.662
363000;13.499
364000;13.626
365000;13.902
366000;13.718
367000;13.710
368000;13.571
369000;13.832
370000;14.013
371000;13.685
372000;14.338
373000;13.747
374000;14.034
375000;14.234
376000;13.488
377000;14.026
378000;14.176
379000;13.433
380000;13.429
381000;13.812
382000;14.052
383000;14.556
384000;14.245
385000;13.866
386000;14.239
387000;13.820
388000;14.785
389000;13.618
390000;14.694
391000;14.861
392000;14.345
393000;14.041
394000;14.838
395000;14.758
396000;14.847
397000;14.584
398000;14.298
399000;14.040
400000;14.565
401000;14.504
402000;15.246
403000;15.244
404000;14.993
405000;15.571
406000;14.461
407000;15.226
408000;15.250
409000;14.619
410000;15.961
411000;14.946
412000;15.782
413000;15.662
414000;15.070
415000;15.251
416000;14.587
417000;15.667
418000;15.918
419000;14.852
420000;16.181
421000;15.881
422000;15.311
423000;14.773
424000;15.452
425000;14.908
426000;16.313
427000;15.114
428000;17.337
429000;16.050
430000;15.872
431000;15.707
432000;15.776
433000;15.658
434000;15.840
435000;16.285
436000;16.813
437000;15.715
438000;15.912
439000;16.790
440000;16.895
441000;16.244
442000;16.770
443000;16.136
444000;16.294
445000;17.155
446000;17.161
447000;15.979
448000;16.811
449000;17.211
450000;17.190
451000;16.328
452000;16.801
453000;17.055
454000;17.288
455000;17.416
456000;16.503
457000;17.348
458000;17.351
459000;16.659
460000;16.842
461000;17.607
462000;17.640
463000;16.895
464000;17.028
465000;17.658
466000;17.326
467000;17.228
468000;17.639
469000;16.963
470000;17.733
471000;18.080
472000;17.244
473000;18.019
474000;18.015
475000;18.301
476000;17.601
477000;18.323
478000;17.616
479000;16.979
480000;17.470
481000;17.993
482000;17.779
483000;17.366
484000;17.686
485000;18.206
486000;17.891
487000;17.758
488000;18.627
489000;18.363
490000;18.775
491000;18.815
