instantiations;compile-time [s]
100;0.046
200;0.121
300;0.133
400;0.183
500;0.241
600;0.354
700;0.499
800;0.597
900;0.786
1000;0.961
1100;1.220
1200;1.510
1300;1.792
1400;2.114
1500;2.484
1600;2.925
1700;3.329
1800;3.695
1900;4.157
2000;4.723
2100;5.366
2200;5.867
2300;6.765
2400;7.345
2500;8.104
2600;8.863
2700;9.643
2800;10.486
2900;11.438
3000;12.152
3100;13.025
3200;13.881
3300;15.213
3400;16.098
3500;16.977
3600;18.172
3700;18.971
3800;20.455
3900;21.452
4000;22.720
4100;23.945
4200;25.304
4300;26.658
4400;28.212
4500;29.185
4600;30.795
4700;32.304
4800;33.919
4900;35.329
5000;37.050
5100;38.885
5200;39.995
5300;42.100
5400;43.141
5500;45.691
5600;47.202
5700;50.029
5800;51.159
5900;53.503
6000;54.698
6100;57.232
6200;59.472
6300;60.596
6400;63.054
6500;65.677
6600;67.264
6700;69.493
6800;72.691
6900;74.495
7000;77.083
7100;78.940
7200;81.897
7300;84.068
7400;86.600
7500;88.886
7600;90.261
7700;94.036
7800;95.155
7900;99.420
8000;102.198
8100;104.890
8200;107.423
8300;108.909
8400;114.759
8500;115.054
8600;117.482
8700;120.697
8800;122.220
8900;125.933
9000;129.488
9100;133.231
9200;133.915
9300;139.825
9400;143.888
9500;143.787
9600;149.630
9700;153.998
9800;154.565
9900;158.519
10000;161.205
