instantiations;compile-time [s]
100;0.069
200;0.108
300;0.160
400;0.250
500;0.343
600;0.478
700;0.626
800;0.797
900;1.032
1000;1.256
1100;1.506
1200;1.834
1300;2.172
1400;2.577
1500;3.098
1600;3.514
1700;4.033
1800;4.622
1900;5.213
2000;5.934
2100;6.632
2200;7.334
2300;8.160
2400;9.005
2500;9.891
2600;10.918
2700;11.969
2800;13.055
2900;14.079
3000;15.202
3100;16.547
3200;17.913
3300;19.102
3400;21.007
3500;21.933
3600;23.996
3700;25.009
3800;26.337
3900;28.336
4000;29.563
4100;31.966
4200;33.226
4300;35.107
4400;36.997
4500;38.966
4600;40.609
4700;43.555
4800;44.835
4900;46.960
5000;49.229
5100;51.526
5200;53.745
5300;55.969
5400;58.915
5500;60.968
5600;63.690
5700;66.119
5800;68.667
5900;72.485
6000;73.915
6100;76.879
6200;79.577
6300;82.113
6400;85.490
6500;89.832
6600;91.153
6700;94.078
6800;97.310
6900;100.035
7000;104.354
7100;106.247
7200;112.604
7300;113.080
7400;116.422
7500;120.623
7600;122.846
7700;126.316
7800;130.233
7900;134.803
8000;138.748
8100;141.543
8200;145.927
8300;149.068
8400;153.487
8500;156.431
8600;161.219
8700;166.651
8800;168.103
8900;173.761
9000;176.807
9100;181.309
9200;185.033
9300;190.711
9400;193.910
9500;198.252
9600;204.114
9700;206.944
9800;210.977
9900;216.936
10000;222.055
10100;226.525
10200;232.329
10300;237.464
10400;241.956
10500;247.654
10600;252.392
10700;255.875
10800;261.871
10900;266.848
11000;273.154
11100;283.473
11200;282.542
11300;289.427
11400;293.708
11500;300.312
11600;304.937
11700;309.036
11800;316.019
11900;321.585
12000;328.308
12100;333.227
12200;347.011
12300;355.508
12400;360.424
12500;368.479
