instantiations;compile-time [s]
100;0.035
200;0.050
300;0.078
400;0.154
500;0.183
600;0.259
700;0.905
800;0.476
900;0.738
1000;1.784
1100;0.846
1200;2.821
1300;3.109
1400;1.512
1500;1.693
1600;1.885
1700;2.238
1800;2.412
1900;2.671
2000;3.333
2100;3.603
2200;3.721
2300;4.290
2400;4.975
2500;6.733
2600;6.028
2700;6.711
2800;7.334
2900;11.416
3000;8.539
3100;21.940
3200;12.997
3300;10.214
3400;11.571
3500;11.899
3600;13.169
3700;14.619
3800;14.468
3900;15.260
4000;16.634
4100;37.887
4200;17.714
4300;18.567
4400;22.815
4500;21.760
4600;37.985
4700;30.292
4800;27.355
4900;25.442
5000;26.133
5100;28.788
5200;51.504
5300;36.018
5400;33.119
5500;37.029
5600;34.510
5700;50.285
5800;79.692
5900;41.705
6000;47.414
6100;49.526
6200;45.971
6300;70.866
6400;49.571
6500;87.327
6600;74.434
6700;62.862
6800;57.434
6900;82.998
7000;101.536
7100;88.702
7200;95.702
7300;103.172
7400;98.567
7500;76.677
7600;73.184
7700;104.553
7800;111.643
7900;79.928
8000;81.752
8100;111.412
8200;105.737
8300;116.840
8400;94.655
8500;118.150
8600;150.446
8700;138.464
8800;125.135
8900;104.833
9000;113.151
9100;146.451
9200;139.773
9300;115.118
9400;183.442
9500;117.364
9600;145.908
9700;203.257
9800;154.771
9900;153.049
10000;137.717
10100;170.299
10200;144.206
10300;174.355
10400;188.449
10500;217.985
10600;152.556
10700;174.897
10800;160.287
10900;215.528
11000;222.469
11100;212.707
11200;198.704
11300;197.696
11400;233.001
11500;205.115
11600;270.497
11700;226.361
11800;214.049
11900;225.292
12000;213.942
12100;232.235
12200;266.775
12300;291.198
12400;245.843
12500;306.062
12600;295.524
12700;316.658
12800;286.377
12900;261.634
13000;286.794
13100;346.130
13200;306.893
13300;314.654
13400;281.624
13500;305.592
13600;322.310
13700;302.789
13800;350.270
13900;327.997
14000;363.838
14100;326.553
14200;359.921
14300;357.572
14400;326.543
14500;363.081
14600;361.783
14700;338.207
14800;430.447
14900;465.394
15000;344.551
