instantiations;compile-time [s]
100;0.247
200;0.382
300;0.597
400;0.962
500;1.346
600;1.840
700;2.483
800;3.182
900;3.972
1000;4.953
1100;5.973
1200;7.015
1300;8.358
1400;9.812
1500;11.165
1600;12.934
1700;14.733
1800;16.157
1900;18.234
2000;20.303
2100;22.410
2200;24.618
2300;26.598
2400;29.244
2500;32.189
2600;34.894
2700;37.900
2800;41.239
2900;43.811
3000;46.992
3100;50.355
3200;53.681
3300;57.616
3400;60.841
3500;64.507
3600;68.907
3700;72.923
3800;76.888
3900;80.552
4000;84.436
4100;88.911
4200;92.982
4300;98.669
4400;101.986
4500;107.766
4600;112.007
4700;117.166
4800;123.132
4900;127.976
5000;132.797
5100;140.549
5200;145.639
5300;150.813
5400;157.732
5500;164.235
5600;170.617
5700;177.492
5800;183.065
5900;192.399
6000;198.314
6100;203.325
6200;212.835
6300;221.945
6400;224.458
6500;231.343
6600;238.744
6700;245.914
6800;255.934
6900;261.216
7000;268.703
7100;277.530
7200;284.318
7300;297.295
7400;300.755
7500;313.010
7600;318.900
7700;328.011
7800;334.010
7900;345.277
8000;351.023
