instantiations;compile-time [s]
100;0.078
200;0.111
300;0.138
400;0.226
500;0.318
600;0.458
700;0.725
800;0.985
900;1.145
1000;1.739
1100;1.854
1200;2.160
1300;2.713
1400;3.121
1500;3.656
1600;4.155
1700;4.781
1800;6.285
1900;6.175
2000;7.649
2100;7.697
2200;9.979
2300;9.740
2400;10.494
2500;12.289
2600;12.374
2700;13.533
2800;14.618
2900;15.705
3000;17.346
3100;19.113
3200;19.949
3300;21.007
3400;22.314
3500;24.800
3600;25.647
3700;26.733
3800;28.661
3900;29.965
4000;31.716
4100;34.076
4200;34.768
4300;36.874
4400;39.101
4500;43.711
4600;43.328
4700;46.303
4800;46.935
4900;49.158
5000;51.257
5100;53.565
5200;55.905
5300;59.315
5400;60.178
5500;62.652
5600;65.954
5700;67.359
5800;70.199
5900;72.643
6000;75.026
6100;79.288
6200;80.909
6300;85.597
6400;88.616
6500;91.827
6600;91.855
6700;94.941
6800;96.681
6900;100.954
7000;103.089
7100;106.566
7200;112.151
7300;113.225
7400;115.431
7500;120.886
7600;123.528
7700;126.963
7800;129.857
7900;136.513
8000;135.308
8100;139.874
8200;146.981
8300;146.745
8400;158.432
8500;153.977
8600;160.305
8700;162.976
8800;168.287
8900;169.843
9000;177.968
9100;179.175
9200;183.518
9300;188.265
9400;194.509
9500;197.444
9600;201.453
9700;213.768
9800;223.772
9900;217.888
10000;218.558
