instantiations;compile-time [s]
100;0.084
200;0.156
300;0.196
400;0.340
500;0.486
600;0.703
700;1.095
800;1.489
900;1.685
1000;2.433
1100;2.959
1200;3.157
1300;3.787
1400;4.712
1500;5.080
1600;5.897
1700;7.322
1800;8.400
1900;8.542
2000;9.524
2100;10.636
2200;11.699
2300;12.824
2400;14.023
2500;15.389
2600;16.821
2700;18.076
2800;19.470
2900;21.281
3000;22.624
3100;26.237
3200;26.112
3300;29.793
3400;29.195
3500;31.331
3600;32.847
3700;35.202
3800;40.030
3900;43.178
4000;41.213
4100;44.021
4200;45.697
4300;48.097
4400;50.035
4500;52.573
4600;55.781
4700;57.691
4800;66.335
4900;64.244
5000;65.919
5100;71.834
5200;71.605
5300;74.053
5400;77.676
5500;87.735
5600;83.148
5700;94.666
5800;90.218
5900;99.136
6000;96.713
6100;109.366
6200;102.549
6300;107.848
6400;109.562
6500;123.042
6600;117.094
6700;120.548
6800;124.941
6900;130.349
7000;132.315
7100;136.517
7200;152.418
7300;144.399
7400;148.267
7500;153.366
7600;157.909
7700;176.228
7800;167.654
7900;170.965
8000;175.061
8100;194.498
8200;184.196
8300;190.579
8400;195.102
8500;205.199
8600;202.278
8700;214.498
8800;211.847
8900;218.475
9000;229.510
9100;229.270
9200;232.421
9300;237.037
9400;243.226
9500;250.412
9600;254.910
9700;263.829
9800;264.700
9900;273.033
10000;277.943
