instantiations;compile-time [s]
100;0.080
200;0.147
300;0.144
400;0.249
500;0.345
600;0.660
700;0.834
800;1.011
900;1.317
1000;1.623
1100;2.026
1200;2.423
1300;2.871
1400;3.460
1500;3.985
1600;4.614
1700;5.213
1800;6.082
1900;6.741
2000;7.591
2100;9.101
2200;9.577
2300;10.577
2400;11.324
2500;12.432
2600;13.584
2700;14.724
2800;15.800
2900;17.153
3000;18.327
3100;19.664
3200;21.236
3300;22.467
3400;24.014
3500;25.150
3600;26.672
3700;28.449
3800;30.203
3900;32.071
4000;34.070
4100;35.443
4200;37.762
4300;39.272
4400;41.112
4500;43.365
4600;45.228
4700;47.976
4800;49.197
4900;51.501
5000;53.525
5100;55.719
5200;57.954
5300;60.337
5400;62.915
5500;66.429
5600;68.284
5700;71.177
5800;73.576
5900;75.893
6000;78.276
6100;82.885
6200;84.786
6300;87.256
6400;89.210
6500;92.748
6600;95.328
6700;98.173
6800;101.712
6900;106.395
7000;109.878
7100;112.632
7200;114.988
7300;118.791
7400;121.451
7500;124.764
7600;127.446
7700;131.625
7800;135.148
7900;138.775
8000;142.097
8100;147.359
8200;151.521
8300;153.638
8400;157.493
8500;163.523
8600;165.835
8700;169.518
8800;174.058
8900;178.203
9000;181.691
9100;186.875
9200;191.212
9300;195.518
9400;202.185
9500;203.394
9600;208.848
9700;213.616
9800;220.103
9900;222.651
10000;229.512
