instantiations;compile-time [s]
100;0.071
200;0.127
300;0.210
400;0.311
500;0.444
600;0.632
700;0.843
800;1.104
900;1.425
1000;1.762
1100;2.216
1200;2.648
1300;3.166
1400;3.726
1500;4.381
1600;5.253
1700;5.766
1800;6.642
1900;7.407
2000;8.424
2100;9.498
2200;10.587
2300;11.941
2400;13.054
2500;14.294
2600;15.514
2700;17.189
2800;18.620
2900;19.899
3000;21.662
3100;23.582
3200;24.789
3300;26.925
3400;28.321
3500;30.547
3600;32.189
3700;34.464
3800;36.328
3900;38.806
4000;41.430
4100;43.266
4200;46.817
4300;48.418
4400;50.714
4500;53.375
4600;55.951
4700;59.703
4800;61.569
4900;64.370
5000;67.273
5100;70.298
5200;73.300
5300;78.465
5400;81.386
5500;82.830
5600;86.106
5700;89.360
5800;93.866
5900;96.829
6000;99.781
6100;103.178
6200;107.050
6300;110.712
6400;114.650
6500;118.546
6600;122.156
6700;125.983
6800;129.944
6900;134.488
7000;138.578
7100;142.171
7200;147.162
7300;151.093
7400;155.638
7500;159.460
7600;163.953
7700;169.098
7800;173.709
7900;182.048
8000;184.294
8100;189.459
8200;193.797
8300;198.709
8400;205.484
8500;210.441
8600;215.488
8700;220.582
8800;225.552
8900;230.731
9000;238.280
9100;242.724
9200;249.873
9300;255.244
9400;259.501
9500;273.474
9600;272.615
9700;278.564
9800;284.502
9900;289.674
10000;304.117
10100;303.837
10200;308.667
10300;316.033
10400;322.490
10500;329.258
10600;334.775
10700;342.097
10800;348.337
10900;362.083
11000;362.033
11100;374.190
11200;374.724
11300;383.064
11400;388.717
11500;396.004
11600;402.834
11700;418.110
11800;417.062
11900;424.898
12000;433.637
12100;440.044
12200;447.145
12300;454.819
12400;461.619
12500;470.920
