instantiations;compile-time [s]
100;0.037
200;0.066
300;0.113
400;0.166
500;0.252
600;0.359
700;0.474
800;0.613
900;0.799
1000;0.955
1100;1.218
1200;1.508
1300;1.771
1400;2.075
1500;2.478
1600;2.839
1700;3.306
1800;8.921
1900;4.560
2000;4.976
2100;6.452
2200;6.219
2300;6.724
2400;7.856
2500;8.482
2600;10.579
2700;10.304
2800;10.867
2900;12.064
3000;15.055
3100;15.738
3200;15.326
3300;16.146
3400;17.210
3500;18.502
3600;19.100
3700;20.652
3800;22.851
3900;23.649
4000;26.274
4100;36.224
4200;28.579
4300;30.496
4400;51.120
4500;60.298
4600;34.756
4700;35.729
4800;39.414
4900;57.902
5000;42.464
5100;46.795
5200;66.200
5300;52.881
5400;50.079
5500;69.691
5600;55.646
5700;57.081
5800;65.942
5900;62.041
6000;67.939
6100;67.213
6200;72.141
6300;71.868
6400;106.978
6500;75.076
6600;79.337
6700;82.820
6800;95.655
6900;86.390
7000;115.170
7100;132.117
7200;106.620
7300;108.446
7400;101.979
7500;105.228
7600;107.570
7700;113.413
7800;134.618
7900;146.505
8000;121.492
8100;124.978
8200;127.569
8300;130.120
8400;133.469
8500;138.162
8600;148.320
8700;144.221
8800;153.755
8900;151.438
9000;160.302
9100;167.203
9200;165.459
9300;172.237
9400;172.638
9500;175.015
9600;187.942
9700;183.827
9800;188.623
9900;233.622
10000;209.104
10100;199.938
10200;204.411
10300;207.904
10400;214.357
10500;218.811
10600;228.194
10700;225.904
10800;232.261
10900;234.204
11000;244.810
11100;247.107
11200;267.786
11300;266.104
11400;295.648
11500;311.994
11600;308.931
11700;276.519
11800;325.513
11900;293.980
12000;290.062
12100;313.616
12200;300.615
12300;304.504
12400;391.635
12500;315.490
12600;321.906
12700;365.663
12800;343.865
12900;380.744
13000;359.435
13100;348.975
13200;401.439
13300;442.174
13400;363.759
13500;368.507
13600;374.706
13700;405.352
13800;387.150
13900;430.154
14000;398.924
14100;421.380
14200;408.643
14300;414.892
14400;424.727
14500;429.184
14600;437.420
14700;440.393
14800;562.982
14900;450.500
15000;463.079
