instantiations;compile-time [s]
100;0.277
200;0.468
300;0.773
400;1.199
500;1.762
600;2.429
700;3.215
800;4.137
900;5.203
1000;6.469
1100;7.775
1200;9.334
1300;10.966
1400;12.712
1500;14.457
1600;16.596
1700;18.548
1800;20.851
1900;23.150
2000;25.923
2100;28.603
2200;31.524
2300;34.465
2400;38.126
2500;41.548
2600;45.215
2700;48.608
2800;53.018
2900;56.833
3000;60.707
3100;65.371
3200;69.366
3300;73.921
3400;77.743
3500;82.839
3600;87.145
3700;91.816
3800;97.460
3900;102.754
4000;108.092
4100;112.976
4200;119.379
4300;125.456
4400;131.674
4500;138.589
4600;144.047
4700;151.199
4800;157.274
4900;163.195
5000;170.131
5100;178.568
5200;185.324
5300;193.717
5400;200.095
5500;207.728
5600;215.894
5700;223.298
5800;232.880
5900;241.680
6000;248.449
6100;259.489
6200;267.717
6300;274.497
6400;286.972
6500;294.003
6600;299.883
6700;310.673
6800;321.336
6900;330.004
7000;339.390
7100;348.752
7200;356.136
7300;366.863
7400;377.553
7500;388.220
7600;396.526
7700;409.928
7800;417.413
7900;431.769
8000;443.385
