instantiations;compile-time [s]
1000;0.931
2000;1.561
3000;2.205
4000;2.804
5000;3.407
6000;4.099
7000;4.728
8000;5.344
9000;5.890
10000;6.586
11000;7.245
12000;7.917
13000;8.655
14000;9.607
15000;10.254
16000;10.982
17000;11.668
18000;12.244
19000;13.030
20000;13.449
21000;14.136
22000;14.765
23000;15.387
24000;16.311
25000;16.888
26000;17.577
27000;18.134
28000;18.810
29000;19.652
30000;20.260
31000;20.795
32000;21.626
33000;22.396
34000;23.021
35000;23.489
36000;24.275
37000;25.098
38000;25.576
39000;26.613
40000;27.804
41000;28.285
42000;28.999
43000;29.829
44000;30.334
45000;31.320
46000;32.040
47000;32.282
48000;33.530
49000;34.344
50000;34.920
51000;35.487
52000;36.383
53000;36.546
54000;37.659
55000;38.280
56000;39.064
57000;39.470
58000;40.142
59000;40.992
60000;41.034
61000;41.754
62000;42.549
63000;43.150
64000;43.863
65000;44.821
66000;45.398
67000;45.651
68000;46.647
69000;47.495
70000;47.540
71000;48.623
72000;48.852
73000;49.497
74000;50.538
75000;51.087
76000;51.208
77000;52.872
78000;53.368
79000;54.133
80000;55.063
81000;55.870
82000;56.431
83000;56.495
84000;57.260
85000;58.666
86000;58.721
87000;60.140
88000;60.801
89000;62.079
90000;61.529
91000;62.599
92000;62.988
93000;63.628
94000;64.789
95000;65.285
96000;66.123
97000;66.526
98000;67.371
99000;68.597
100000;70.613
101000;70.775
102000;71.844
103000;72.475
104000;73.061
105000;74.250
106000;74.424
107000;75.058
108000;75.643
109000;76.160
110000;76.596
111000;76.930
112000;77.625
113000;78.781
114000;79.113
115000;80.325
116000;80.556
117000;81.193
118000;81.525
119000;83.445
120000;83.242
121000;83.034
122000;84.013
123000;86.038
124000;86.253
125000;85.980
126000;87.592
127000;87.008
128000;88.487
129000;88.897
130000;89.941
131000;90.506
132000;91.147
133000;91.321
134000;92.711
135000;92.715
136000;93.421
137000;94.370
138000;94.728
139000;95.340
140000;96.292
141000;96.976
142000;98.560
143000;99.050
144000;99.011
145000;100.645
146000;101.885
147000;101.830
148000;102.426
149000;102.887
150000;104.560
