instantiations;compile-time [s]
1000;0.121
2000;0.210
3000;0.283
4000;0.370
5000;0.443
6000;0.527
7000;0.633
8000;0.695
9000;0.796
10000;0.899
11000;1.043
12000;1.109
13000;1.266
14000;1.287
15000;1.427
16000;1.498
17000;1.613
18000;1.645
19000;1.819
20000;1.873
21000;2.010
22000;2.015
23000;2.057
24000;2.206
25000;2.357
26000;2.438
27000;2.608
28000;2.679
29000;2.802
30000;2.755
31000;2.808
32000;2.941
33000;3.092
34000;3.307
35000;3.207
36000;3.475
37000;3.535
38000;3.627
39000;3.659
40000;3.871
41000;3.777
42000;3.934
43000;4.009
44000;4.095
45000;4.352
46000;4.285
47000;4.264
48000;4.791
49000;4.796
50000;4.706
51000;4.983
52000;5.000
53000;5.281
54000;5.291
55000;5.421
56000;5.376
57000;5.404
58000;5.681
59000;5.820
60000;5.724
61000;5.714
62000;6.039
63000;6.033
64000;6.023
65000;6.117
66000;6.350
67000;6.443
68000;6.535
69000;6.816
70000;6.572
71000;6.913
72000;6.967
73000;6.843
74000;6.910
75000;7.142
76000;7.407
77000;7.325
78000;7.891
79000;7.794
80000;8.039
81000;7.919
82000;7.901
83000;7.815
84000;7.946
85000;8.367
86000;8.472
87000;8.378
88000;8.380
89000;8.424
90000;8.633
91000;8.630
92000;8.717
93000;9.101
94000;9.172
95000;9.399
96000;9.104
97000;9.323
98000;9.491
99000;9.641
100000;9.598
101000;10.090
102000;10.932
103000;10.498
104000;10.800
105000;10.607
106000;10.559
107000;11.167
108000;10.486
109000;10.779
110000;11.305
111000;10.706
112000;11.040
113000;11.537
114000;11.982
115000;11.650
116000;11.404
117000;11.468
118000;11.583
119000;12.033
120000;12.721
121000;11.735
122000;12.447
123000;12.239
124000;12.599
125000;12.407
126000;12.391
127000;12.533
128000;12.708
129000;12.975
130000;13.088
131000;12.770
132000;13.801
133000;13.447
134000;13.131
135000;14.188
136000;13.964
137000;13.451
138000;13.495
139000;13.537
140000;13.857
141000;14.295
142000;14.542
143000;14.610
144000;14.989
145000;14.468
146000;15.193
147000;14.668
148000;15.115
149000;15.817
150000;14.881
151000;15.488
152000;16.440
153000;16.313
154000;15.779
155000;15.769
156000;15.995
157000;15.784
158000;15.705
159000;16.329
160000;15.997
161000;15.854
162000;16.543
163000;17.123
164000;16.209
165000;16.597
166000;16.811
167000;17.053
168000;16.934
169000;17.497
170000;17.662
171000;17.099
172000;17.724
173000;17.447
174000;17.515
175000;18.076
176000;17.898
177000;18.491
178000;17.898
179000;17.855
180000;18.886
181000;18.384
182000;18.803
183000;19.346
184000;18.631
185000;18.528
186000;19.739
187000;19.059
188000;19.918
189000;19.062
190000;20.064
191000;19.853
192000;19.993
193000;20.501
194000;21.103
195000;19.695
196000;21.397
197000;21.333
198000;20.630
199000;21.695
200000;22.132
201000;21.302
202000;21.745
203000;21.372
204000;21.179
205000;21.488
206000;21.717
207000;22.096
208000;22.265
209000;21.860
210000;22.682
211000;23.586
212000;22.495
213000;23.381
214000;22.470
215000;23.869
216000;24.395
217000;22.960
218000;25.085
219000;23.142
220000;23.326
221000;23.290
222000;23.237
223000;24.103
224000;24.439
225000;24.337
226000;25.920
227000;24.583
228000;24.495
229000;25.171
230000;24.563
231000;24.214
232000;24.355
233000;26.346
