instantiations;compile-time [s]
1000;0.837
2000;1.374
3000;1.945
4000;2.467
5000;2.981
6000;3.534
7000;4.090
8000;4.596
9000;5.160
10000;5.729
11000;6.250
12000;6.873
13000;7.346
14000;7.978
15000;8.482
16000;9.088
17000;10.286
18000;10.921
19000;11.510
20000;11.939
21000;12.430
22000;13.105
23000;13.769
24000;14.324
25000;15.062
26000;15.685
27000;16.277
28000;16.780
29000;17.413
30000;18.068
31000;18.718
32000;19.202
33000;19.948
34000;20.633
35000;20.974
36000;21.796
37000;22.334
38000;22.810
39000;23.661
40000;24.029
41000;24.680
42000;25.116
43000;25.832
44000;26.415
45000;27.147
46000;27.936
47000;28.287
48000;29.005
49000;29.907
50000;30.825
51000;31.248
52000;31.819
53000;32.664
54000;32.958
55000;33.825
56000;34.466
57000;34.758
58000;35.352
59000;36.138
60000;36.446
61000;37.022
62000;37.567
63000;38.779
64000;38.440
65000;39.525
66000;40.478
67000;41.152
68000;41.580
69000;42.366
70000;42.780
71000;43.137
72000;44.079
73000;44.811
74000;45.008
75000;46.190
76000;46.095
77000;47.194
78000;47.614
79000;48.043
80000;48.799
81000;49.149
82000;49.631
83000;50.731
84000;51.633
85000;52.018
86000;52.444
87000;53.019
88000;54.298
89000;54.215
90000;56.268
91000;56.429
92000;57.367
93000;57.899
94000;58.440
95000;58.753
96000;59.565
97000;60.385
98000;60.640
99000;62.591
100000;62.119
101000;62.797
102000;63.768
103000;64.279
104000;65.299
105000;65.228
106000;65.733
107000;66.588
108000;67.466
109000;67.595
110000;68.509
111000;68.721
112000;69.239
113000;70.629
114000;70.779
115000;71.728
116000;72.051
117000;72.309
118000;73.417
119000;74.587
120000;74.847
121000;75.521
122000;75.751
123000;75.772
124000;76.959
125000;78.245
126000;79.036
127000;78.756
128000;79.640
129000;80.074
130000;81.108
131000;80.504
132000;82.216
133000;83.808
134000;84.401
135000;84.070
136000;84.718
137000;85.378
138000;86.486
139000;86.502
140000;88.029
141000;88.300
142000;88.582
143000;90.921
144000;88.946
145000;90.899
146000;93.024
147000;92.856
148000;91.844
149000;93.643
150000;95.169
