instantiations;compile-time [s]
1000;0.282
2000;0.477
3000;0.669
4000;0.869
5000;1.048
6000;1.269
7000;1.461
8000;1.862
9000;1.837
10000;2.157
11000;2.376
12000;2.655
13000;2.842
14000;3.021
15000;3.256
16000;3.698
17000;3.709
18000;3.919
19000;4.121
20000;4.273
21000;4.468
22000;4.721
23000;4.939
24000;5.147
25000;5.388
26000;5.597
27000;5.800
28000;6.017
29000;6.267
30000;6.494
31000;6.712
32000;6.788
33000;7.126
34000;7.358
35000;7.542
36000;7.753
37000;8.013
38000;8.147
39000;8.451
40000;8.753
41000;8.894
42000;9.110
43000;9.292
44000;9.620
45000;9.785
46000;10.026
47000;10.244
48000;10.533
49000;10.704
50000;11.247
51000;11.304
52000;11.540
53000;11.806
54000;11.910
55000;12.265
56000;12.403
57000;12.691
58000;12.901
59000;13.052
60000;13.212
61000;13.348
62000;13.565
63000;13.920
64000;14.102
65000;14.306
66000;14.876
67000;14.717
68000;15.106
69000;15.430
70000;15.663
71000;15.771
72000;15.919
73000;16.423
74000;16.517
75000;16.742
76000;17.036
77000;17.239
78000;17.464
79000;17.536
80000;17.986
81000;17.965
82000;18.217
83000;18.643
84000;18.803
85000;19.075
86000;19.089
87000;19.316
88000;20.193
89000;20.068
90000;20.423
91000;20.708
92000;21.400
93000;21.217
94000;21.273
95000;21.601
96000;21.881
97000;22.471
98000;22.160
99000;23.216
100000;23.054
101000;23.413
102000;23.485
103000;23.801
104000;24.008
105000;24.142
106000;24.566
107000;24.782
108000;25.003
109000;25.600
110000;26.387
111000;25.916
112000;26.161
113000;26.409
114000;26.413
115000;26.886
116000;27.170
117000;27.549
118000;27.519
119000;27.836
120000;27.830
121000;27.797
122000;28.185
123000;28.447
124000;28.415
125000;31.557
126000;29.020
127000;28.999
128000;29.347
129000;29.867
130000;30.158
131000;30.552
132000;30.858
133000;31.367
134000;31.559
135000;31.615
136000;31.462
137000;31.951
138000;32.129
139000;32.556
140000;33.736
141000;32.972
142000;33.586
143000;33.421
144000;34.143
145000;34.424
146000;34.291
147000;34.893
148000;34.856
149000;35.332
150000;36.145
151000;36.018
152000;36.108
153000;36.663
154000;36.234
155000;36.965
156000;37.441
157000;37.291
158000;37.347
159000;37.920
160000;38.381
161000;37.921
162000;38.367
163000;38.192
164000;39.153
165000;39.292
166000;39.094
167000;39.944
168000;40.559
169000;40.693
170000;40.452
171000;41.878
172000;41.186
173000;41.134
174000;41.541
175000;41.718
176000;41.999
177000;42.327
178000;42.641
179000;43.872
180000;43.060
181000;42.990
182000;43.964
183000;43.939
184000;44.370
185000;44.403
186000;44.530
187000;44.649
188000;45.066
189000;46.433
190000;46.617
191000;46.845
192000;46.939
193000;46.274
194000;50.977
195000;47.228
196000;48.729
197000;48.706
198000;49.650
199000;49.265
200000;50.720
201000;49.862
202000;50.247
203000;50.479
204000;50.793
205000;50.935
206000;51.707
207000;51.971
208000;51.958
209000;51.840
210000;53.015
211000;53.541
212000;52.903
213000;54.024
214000;53.721
215000;53.880
216000;54.054
217000;54.058
218000;54.036
219000;54.782
220000;55.247
221000;54.834
222000;55.588
223000;57.410
224000;55.741
225000;56.847
226000;56.704
227000;56.921
228000;57.463
229000;58.031
230000;57.933
231000;58.015
232000;58.243
233000;58.982
234000;59.211
235000;59.260
236000;59.068
237000;60.583
238000;60.096
239000;60.820
240000;60.344
241000;61.080
242000;61.065
243000;61.594
244000;61.430
245000;62.054
246000;62.936
247000;62.508
248000;63.082
249000;61.867
250000;63.896
251000;63.355
252000;64.316
253000;63.803
254000;63.720
255000;64.629
256000;65.294
257000;64.937
258000;65.050
259000;64.833
260000;67.615
261000;66.013
262000;66.396
263000;69.860
264000;67.974
265000;67.472
266000;68.737
267000;68.579
268000;69.434
269000;68.968
270000;70.127
271000;69.339
272000;70.722
273000;70.835
274000;70.513
275000;71.975
276000;70.931
277000;70.934
278000;73.510
279000;72.219
280000;72.762
281000;76.479
282000;73.058
283000;73.136
284000;73.251
285000;73.627
286000;74.494
287000;74.693
288000;75.352
289000;74.917
290000;75.814
291000;76.782
292000;75.315
293000;76.431
294000;76.272
295000;76.256
296000;77.253
297000;79.124
298000;76.988
299000;76.878
300000;79.034
301000;79.122
302000;78.474
303000;78.957
304000;79.147
305000;84.307
306000;81.840
307000;79.897
308000;80.309
309000;80.883
310000;82.390
311000;82.206
312000;81.776
313000;82.459
314000;83.104
315000;82.652
316000;82.660
317000;84.530
318000;83.714
319000;83.622
320000;85.704
321000;85.507
322000;85.870
323000;85.023
324000;85.478
325000;85.556
326000;87.063
327000;85.619
328000;87.634
329000;87.245
330000;88.952
331000;88.813
332000;88.313
333000;88.451
334000;90.560
335000;88.875
336000;88.192
337000;90.866
338000;91.001
339000;90.699
340000;91.223
341000;91.786
342000;96.137
343000;91.567
344000;92.764
345000;93.249
346000;92.062
347000;92.986
348000;92.658
349000;93.939
350000;94.000
351000;93.851
352000;94.910
353000;95.229
354000;96.678
355000;95.551
356000;95.660
357000;96.494
358000;95.982
359000;96.429
360000;97.286
361000;97.431
362000;99.346
363000;97.984
364000;99.340
365000;99.298
366000;100.346
