instantiations;compile-time [s]
100;0.047
200;0.058
300;0.081
400;0.089
500;0.130
600;0.122
700;0.187
800;0.197
900;0.242
1000;0.256
1100;0.297
1200;0.363
1300;0.361
1400;0.464
1500;0.509
1600;0.620
1700;0.648
1800;0.837
1900;0.834
2000;0.905
2100;1.187
2200;1.175
2300;1.147
2400;1.619
2500;1.358
2600;1.591
2700;1.681
2800;1.719
2900;2.076
3000;2.061
3100;2.226
3200;3.048
3300;2.506
3400;2.842
3500;3.344
3600;3.160
3700;3.183
3800;3.516
3900;4.151
4000;3.741
4100;4.131
4200;4.123
4300;4.673
4400;4.384
4500;5.032
4600;5.149
4700;6.260
4800;5.290
4900;5.944
5000;6.884
5100;6.368
5200;6.380
5300;6.775
5400;7.292
5500;7.541
5600;9.139
5700;8.096
5800;8.869
5900;8.723
6000;9.117
6100;9.866
6200;10.433
6300;10.568
6400;10.532
6500;11.166
6600;11.599
6700;12.042
6800;12.870
6900;13.312
7000;13.485
7100;13.731
7200;13.834
7300;14.973
7400;16.925
7500;14.737
7600;16.128
7700;16.750
7800;17.116
7900;17.557
8000;18.356
8100;18.610
8200;18.961
8300;18.807
8400;19.802
8500;20.803
8600;21.682
8700;22.545
8800;22.038
8900;23.306
9000;24.773
9100;27.895
9200;25.376
9300;25.298
9400;26.506
9500;26.876
9600;26.729
9700;27.354
9800;30.920
9900;29.778
10000;29.422
