instantiations;compile-time [s]
100;0.047
200;0.057
300;0.084
400;0.105
500;0.136
600;0.174
700;0.222
800;0.263
900;0.335
1000;0.390
1100;0.460
1200;0.528
1300;0.628
1400;0.721
1500;0.838
1600;0.946
1700;1.072
1800;1.183
1900;1.316
2000;1.442
2100;1.576
2200;1.729
2300;1.897
2400;2.042
2500;2.231
2600;2.432
2700;2.648
2800;2.844
2900;3.097
3000;3.346
3100;3.539
3200;3.785
3300;4.084
3400;4.272
3500;4.504
3600;4.783
3700;5.030
3800;5.279
3900;5.539
4000;5.792
4100;6.080
4200;6.363
4300;6.706
4400;7.159
4500;7.271
4600;7.764
4700;7.963
4800;8.338
4900;8.691
5000;9.150
5100;9.706
5200;10.043
5300;10.362
5400;10.839
5500;11.266
5600;11.800
5700;12.333
5800;12.903
5900;13.291
6000;13.772
6100;14.478
6200;14.891
6300;15.203
6400;15.802
6500;16.529
6600;16.818
6700;17.292
6800;17.831
6900;18.593
7000;18.905
7100;19.608
7200;20.007
7300;20.894
7400;21.513
7500;21.862
7600;22.574
7700;23.457
7800;23.900
7900;24.676
8000;25.669
8100;25.835
8200;26.950
8300;27.389
8400;27.994
8500;28.814
8600;29.611
8700;30.449
8800;31.216
8900;31.824
9000;32.934
9100;33.502
9200;34.522
9300;35.254
9400;35.853
9500;37.425
9600;37.705
9700;38.613
9800;39.698
9900;40.246
10000;41.283
10100;42.225
10200;43.227
10300;44.206
10400;45.149
10500;45.886
10600;47.235
10700;48.049
10800;49.168
10900;50.965
11000;51.520
11100;52.053
11200;53.102
11300;54.691
11400;55.693
11500;56.962
11600;58.371
11700;58.722
11800;60.014
11900;61.414
12000;62.741
12100;63.922
12200;64.902
12300;66.073
12400;67.367
12500;69.238
