instantiations;compile-time [s]
100;0.206
200;0.238
300;0.291
400;0.400
500;0.456
600;0.570
700;0.703
800;0.865
900;1.050
1000;1.256
1100;1.463
1200;1.695
1300;2.007
1400;2.346
1500;2.649
1600;3.051
1700;3.465
1800;3.901
1900;4.492
2000;4.880
2100;5.258
2200;5.843
2300;6.381
2400;6.940
2500;7.831
2600;8.281
2700;9.028
2800;10.092
2900;10.691
3000;11.462
3100;12.624
3200;13.873
3300;14.033
3400;15.301
3500;15.960
3600;17.550
3700;18.352
3800;18.738
3900;19.923
4000;20.756
4100;22.406
4200;23.175
4300;24.611
4400;26.037
4500;27.149
4600;27.917
4700;29.253
4800;31.125
4900;32.532
5000;34.033
5100;35.069
5200;37.210
5300;38.634
5400;39.911
5500;42.418
5600;44.155
5700;44.876
5800;46.756
5900;50.308
6000;51.294
6100;53.141
6200;54.791
6300;56.923
6400;59.448
6500;60.751
6600;62.252
6700;63.927
6800;67.992
6900;69.641
7000;70.561
7100;73.290
7200;76.236
7300;76.923
7400;79.679
7500;82.104
7600;82.529
7700;86.811
7800;87.932
7900;90.316
8000;90.657
