instantiations;compile-time [s]
100;0.066
200;0.071
300;0.098
400;0.119
500;0.123
600;0.175
700;0.220
800;0.271
900;0.320
1000;0.422
1100;0.490
1200;0.554
1300;0.632
1400;0.839
1500;0.881
1600;0.976
1700;1.157
1800;1.214
1900;1.467
2000;1.942
2100;1.786
2200;2.496
2300;2.305
2400;2.549
2500;2.705
2600;3.018
2700;3.482
2800;3.532
2900;4.144
3000;4.588
3100;4.857
3200;5.907
3300;5.771
3400;6.064
3500;6.129
3600;7.180
3700;6.931
3800;7.569
3900;8.974
4000;9.461
4100;8.793
4200;9.521
4300;10.125
4400;12.032
4500;10.924
4600;11.937
4700;13.312
4800;13.152
4900;13.902
5000;16.204
5100;15.172
5200;15.954
5300;16.425
5400;19.149
5500;17.589
5600;19.389
5700;20.813
5800;20.312
5900;24.124
6000;22.022
6100;22.975
6200;25.475
6300;25.115
6400;25.246
6500;27.166
6600;27.523
6700;29.120
6800;29.680
6900;31.365
7000;35.185
7100;31.873
7200;33.241
7300;35.093
7400;37.576
7500;35.892
7600;41.186
7700;38.144
7800;41.223
7900;41.290
8000;41.931
8100;45.732
8200;44.028
8300;44.529
8400;46.005
8500;47.027
8600;48.549
8700;49.505
8800;50.503
8900;52.027
9000;53.516
9100;54.352
9200;56.327
9300;57.483
9400;62.276
9500;59.620
9600;67.658
9700;68.586
9800;64.436
9900;71.228
10000;73.846
