instantiations;compile-time [s]
100;0.064
200;0.046
300;0.079
400;0.102
500;0.126
600;0.176
700;0.162
800;0.229
900;0.238
1000;0.309
1100;0.361
1200;0.345
1300;0.434
1400;0.571
1500;0.688
1600;0.676
1700;0.871
1800;0.969
1900;1.130
2000;1.226
2100;1.474
2200;1.575
2300;1.696
2400;2.263
2500;2.264
2600;2.375
2700;2.607
2800;2.853
2900;3.065
3000;3.361
3100;3.818
3200;3.855
3300;4.131
3400;4.633
3500;4.781
3600;5.119
3700;5.551
3800;6.813
3900;6.207
4000;6.580
4100;7.026
4200;7.391
4300;7.649
4400;8.259
4500;8.605
4600;9.290
4700;9.519
4800;10.095
4900;10.843
5000;10.983
5100;11.679
5200;12.342
5300;12.649
5400;13.495
5500;13.994
5600;14.389
5700;14.837
5800;15.644
5900;16.202
6000;16.952
6100;18.463
6200;17.792
6300;19.029
6400;19.554
6500;21.827
6600;20.981
6700;21.379
6800;22.274
6900;24.445
7000;24.277
7100;24.719
7200;25.597
7300;28.116
7400;27.130
7500;27.345
7600;28.791
7700;29.701
7800;30.045
7900;31.350
8000;32.047
8100;33.080
8200;34.133
8300;34.353
8400;36.148
8500;37.283
8600;38.281
8700;39.724
8800;39.582
8900;40.246
9000;44.383
9100;42.475
9200;44.216
9300;44.788
9400;46.106
9500;47.890
9600;47.363
9700;48.830
9800;50.362
9900;53.487
10000;53.499
