instantiations;compile-time [s]
100;0.053
200;0.059
300;0.106
400;0.092
500;0.106
600;0.123
700;0.145
800;0.177
900;0.221
1000;0.285
1100;0.287
1200;0.357
1300;0.344
1400;0.389
1500;0.443
1600;0.572
1700;0.625
1800;0.733
1900;0.795
2000;0.932
2100;1.107
2200;1.181
2300;1.284
2400;1.481
2500;1.584
2600;1.643
2700;1.856
2800;1.975
2900;2.286
3000;2.434
3100;2.504
3200;2.729
3300;2.892
3400;3.184
3500;3.360
3600;3.749
3700;3.969
3800;4.210
3900;4.589
4000;4.783
4100;5.812
4200;5.471
4300;6.104
4400;6.027
4500;6.367
4600;6.415
4700;7.054
4800;7.924
4900;7.420
5000;8.003
5100;8.915
5200;9.166
5300;9.412
5400;10.108
5500;9.688
5600;11.219
5700;11.118
5800;11.604
5900;12.712
6000;12.380
6100;12.878
6200;13.566
6300;13.528
6400;14.615
6500;15.216
6600;15.608
6700;16.348
6800;16.824
6900;16.864
7000;18.315
7100;18.682
7200;18.997
7300;20.435
7400;20.994
7500;20.727
7600;21.967
7700;21.848
7800;22.895
7900;24.172
8000;24.201
8100;25.011
8200;24.982
8300;26.488
8400;26.837
8500;29.127
8600;27.853
8700;30.117
8800;28.819
8900;33.057
9000;30.856
9100;33.615
9200;33.906
9300;33.427
9400;34.603
9500;35.024
9600;35.336
9700;38.148
9800;37.606
9900;38.093
10000;41.730
