instantiations;compile-time [s]
100;0.049
200;0.060
300;0.080
400;0.097
500;0.136
600;0.169
700;0.208
800;0.254
900;0.306
1000;0.361
1100;0.425
1200;0.487
1300;0.571
1400;0.633
1500;0.725
1600;0.838
1700;0.940
1800;1.063
1900;1.190
2000;1.330
2100;1.439
2200;1.610
2300;1.771
2400;1.936
2500;2.108
2600;2.299
2700;2.485
2800;2.678
2900;2.930
3000;3.171
3100;3.442
3200;3.975
3300;4.107
3400;4.446
3500;4.673
3600;5.205
3700;5.564
3800;5.914
3900;6.259
4000;6.508
4100;6.877
4200;7.303
4300;7.795
4400;8.252
4500;8.620
4600;9.216
4700;9.598
4800;10.059
4900;10.812
5000;11.265
5100;11.648
5200;12.351
5300;12.913
5400;13.883
5500;13.932
5600;14.529
5700;15.112
5800;16.020
5900;16.540
6000;17.222
6100;17.820
6200;18.890
6300;19.306
6400;20.105
6500;21.006
6600;21.425
6700;22.424
6800;23.668
6900;24.227
7000;25.096
7100;25.709
7200;26.878
7300;27.752
7400;28.607
7500;29.727
7600;30.432
7700;31.713
7800;32.570
7900;33.347
8000;34.354
8100;35.381
8200;36.441
8300;36.213
8400;38.771
8500;40.073
8600;40.273
8700;41.920
8800;42.993
8900;43.864
9000;44.982
9100;46.811
9200;47.555
9300;48.533
9400;49.403
9500;51.201
9600;52.102
9700;53.423
9800;54.845
9900;55.819
10000;57.225
10100;58.457
10200;59.812
10300;61.450
10400;61.213
10500;63.932
10600;65.540
10700;66.965
10800;67.999
10900;69.393
11000;71.070
11100;72.346
11200;72.494
11300;75.166
11400;77.224
11500;77.095
11600;79.431
11700;81.228
11800;82.981
11900;84.310
12000;86.612
12100;87.284
12200;89.496
12300;90.662
12400;92.146
12500;93.775
