instantiations;compile-time [s]
100;0.030
200;0.034
300;0.044
400;0.053
500;0.066
600;0.084
700;0.245
800;0.134
900;0.159
1000;0.202
1100;0.232
1200;0.273
1300;0.322
1400;0.366
1500;0.995
1600;0.520
1700;0.594
1800;0.646
1900;0.672
2000;0.779
2100;0.841
2200;2.373
2300;2.338
2400;1.114
2500;1.196
2600;3.041
2700;1.457
2800;3.507
2900;1.628
3000;1.744
3100;4.696
3200;2.077
3300;5.135
3400;2.294
3500;3.005
3600;2.784
3700;2.961
3800;2.907
3900;3.246
4000;7.528
4100;4.294
4200;3.470
4300;3.997
4400;3.942
4500;5.047
4600;4.300
4700;4.777
4800;4.952
4900;5.013
5000;12.535
5100;5.622
5200;6.046
5300;6.143
5400;6.416
5500;6.840
5600;7.216
5700;7.090
5800;7.553
5900;7.796
6000;8.040
6100;8.150
6200;8.837
6300;9.047
6400;22.022
6500;9.419
6600;9.994
6700;24.347
6800;15.384
6900;11.523
7000;11.967
7100;11.397
7200;25.417
7300;13.145
7400;12.938
7500;13.557
7600;14.250
7700;13.949
7800;15.225
7900;15.242
8000;34.316
8100;16.454
8200;17.238
8300;17.136
8400;19.634
8500;17.642
8600;26.929
8700;41.844
8800;18.862
8900;22.632
9000;21.168
9100;21.558
9200;42.624
9300;23.015
9400;23.125
9500;22.575
9600;28.328
9700;23.985
9800;25.762
9900;25.832
10000;26.979
10100;27.651
10200;28.359
10300;29.937
10400;28.530
10500;28.523
10600;30.297
10700;48.859
10800;32.336
10900;32.245
11000;55.979
11100;32.347
11200;32.987
11300;53.653
11400;36.514
11500;36.091
11600;37.569
11700;62.468
11800;39.261
11900;39.650
12000;49.658
12100;52.652
12200;71.529
12300;42.756
12400;44.079
12500;49.072
12600;63.026
12700;79.121
12800;47.583
12900;47.322
13000;49.277
13100;56.397
13200;50.114
13300;51.113
13400;51.183
13500;51.419
13600;54.147
13700;80.182
13800;57.630
13900;55.108
14000;81.305
14100;65.405
14200;67.593
14300;59.564
14400;79.594
14500;85.091
14600;79.635
14700;63.533
14800;73.624
14900;65.531
15000;72.256
