instantiations;compile-time [s]
100;0.211
200;0.244
300;0.293
400;0.387
500;0.472
600;0.582
700;0.725
800;0.905
900;1.116
1000;1.331
1100;1.574
1200;1.841
1300;2.180
1400;2.508
1500;2.891
1600;3.310
1700;3.854
1800;4.247
1900;4.755
2000;5.215
2100;5.749
2200;6.301
2300;6.912
2400;7.459
2500;8.253
2600;8.964
2700;9.986
2800;10.610
2900;11.356
3000;12.149
3100;13.070
3200;13.886
3300;15.321
3400;15.980
3500;17.314
3600;18.063
3700;19.226
3800;20.154
3900;21.270
4000;22.497
4100;23.920
4200;24.624
4300;26.110
4400;28.500
4500;29.283
4600;30.305
4700;31.302
4800;33.640
4900;34.726
5000;36.172
5100;37.359
5200;40.055
5300;41.560
5400;42.509
5500;44.235
5600;46.218
5700;47.681
5800;50.622
5900;52.000
6000;54.313
6100;55.860
6200;57.319
6300;59.571
6400;62.805
6500;63.301
6600;66.468
6700;67.988
6800;70.127
6900;72.230
7000;74.930
7100;75.550
7200;77.790
7300;82.448
7400;83.128
7500;86.711
7600;89.943
7700;91.274
7800;94.156
7900;94.934
8000;97.353
