instantiations;compile-time [s]
1000;0.103
2000;0.166
3000;0.228
4000;0.294
5000;0.361
6000;0.420
7000;0.502
8000;0.569
9000;0.637
10000;0.708
11000;0.770
12000;0.811
13000;0.873
14000;0.944
15000;1.014
16000;1.108
17000;1.189
18000;1.242
19000;1.288
20000;1.383
21000;1.493
22000;1.530
23000;1.531
24000;1.602
25000;1.770
26000;1.864
27000;1.906
28000;1.866
29000;2.001
30000;1.984
31000;2.092
32000;2.079
33000;2.344
34000;2.242
35000;2.295
36000;2.491
37000;2.578
38000;2.623
39000;2.582
40000;2.904
41000;2.794
42000;3.009
43000;2.825
44000;3.040
45000;3.164
46000;3.245
47000;3.256
48000;3.314
49000;3.236
50000;3.396
51000;3.529
52000;3.443
53000;3.480
54000;3.745
55000;3.994
56000;3.882
57000;3.896
58000;3.841
59000;4.165
60000;4.010
61000;4.327
62000;4.284
63000;4.309
64000;4.203
65000;4.277
66000;4.770
67000;4.424
68000;4.751
69000;4.708
70000;4.596
71000;4.800
72000;4.753
73000;4.957
74000;5.080
75000;5.280
76000;5.273
77000;5.174
78000;5.642
79000;5.629
80000;5.496
81000;5.697
82000;5.347
83000;5.722
84000;5.621
85000;5.750
86000;5.868
87000;5.897
88000;6.105
89000;6.015
90000;6.485
91000;6.310
92000;6.144
93000;6.197
94000;6.443
95000;6.445
96000;6.250
97000;6.639
98000;6.674
99000;6.845
100000;7.070
101000;6.679
102000;7.150
103000;6.891
104000;6.945
105000;7.420
106000;7.387
107000;7.709
108000;7.400
109000;7.245
110000;7.885
111000;7.574
112000;7.733
113000;7.445
114000;7.789
115000;7.913
116000;7.573
117000;7.662
118000;7.728
119000;8.563
120000;8.597
121000;8.651
122000;8.592
123000;8.654
124000;8.582
125000;8.825
126000;8.688
127000;8.740
128000;8.639
129000;9.013
130000;8.980
131000;8.799
132000;9.074
133000;9.260
134000;9.029
135000;9.367
136000;9.464
137000;9.359
138000;9.424
139000;9.967
140000;9.727
141000;9.977
142000;9.965
143000;9.816
144000;10.188
145000;9.849
146000;9.977
147000;9.743
148000;10.603
149000;10.173
150000;10.683
151000;10.587
152000;10.005
153000;10.826
154000;10.185
155000;10.566
156000;10.785
157000;10.357
158000;11.248
159000;10.740
160000;11.203
161000;11.051
162000;11.376
163000;11.055
164000;10.945
165000;11.397
166000;11.709
167000;11.812
168000;11.740
169000;11.398
170000;12.232
171000;11.583
172000;11.676
173000;12.431
174000;12.500
175000;11.846
176000;12.672
177000;12.259
178000;12.086
179000;12.784
180000;12.297
181000;12.487
182000;12.608
183000;12.576
184000;13.052
185000;12.635
186000;12.706
187000;12.997
188000;13.393
189000;13.063
190000;12.978
191000;13.575
192000;13.362
193000;13.404
194000;12.954
195000;13.496
196000;13.487
197000;13.563
198000;13.180
199000;13.102
200000;14.393
201000;13.679
202000;14.644
203000;14.596
204000;14.050
205000;14.067
206000;14.442
207000;14.625
208000;14.744
209000;14.803
210000;15.257
211000;14.567
212000;14.973
213000;14.731
214000;15.511
215000;15.256
216000;15.447
217000;14.323
218000;15.089
219000;15.036
220000;15.216
221000;15.216
222000;15.704
223000;15.534
224000;15.231
225000;15.691
226000;15.299
227000;16.440
228000;15.451
229000;16.406
230000;16.003
231000;15.973
232000;16.670
233000;16.186
234000;16.735
235000;15.991
236000;16.667
237000;16.582
238000;16.146
239000;16.815
240000;17.437
241000;17.341
242000;16.319
243000;16.568
244000;17.541
245000;17.287
246000;16.566
247000;16.982
248000;16.421
249000;17.747
250000;16.967
251000;17.977
252000;17.234
253000;17.795
254000;17.658
255000;16.997
256000;17.558
257000;17.489
258000;17.980
259000;18.017
260000;17.482
261000;18.580
262000;18.104
263000;19.024
264000;18.133
265000;18.928
266000;19.178
267000;18.284
268000;19.529
269000;19.088
270000;18.377
271000;18.993
272000;18.969
273000;19.243
274000;19.548
275000;19.048
276000;20.073
277000;19.795
278000;19.864
279000;20.179
280000;20.412
281000;19.389
282000;20.306
283000;18.819
284000;19.529
285000;19.609
286000;19.147
287000;20.742
288000;20.832
289000;21.077
290000;20.421
291000;20.292
292000;20.248
293000;20.888
294000;21.222
295000;19.565
296000;21.574
297000;20.512
298000;21.448
299000;20.462
300000;20.600
301000;20.181
302000;21.568
303000;22.225
304000;21.717
305000;21.970
306000;21.297
307000;22.270
308000;21.340
309000;21.533
310000;22.598
311000;21.866
312000;21.497
313000;22.314
314000;21.512
315000;22.308
316000;21.665
317000;21.656
318000;22.645
319000;22.693
320000;23.577
321000;22.349
322000;22.052
323000;23.140
324000;22.810
325000;22.732
326000;23.148
327000;23.567
328000;22.405
329000;22.349
330000;22.309
331000;23.127
332000;24.097
333000;22.708
334000;24.401
335000;23.282
336000;23.296
337000;24.507
338000;24.527
339000;24.182
340000;23.427
341000;23.478
342000;23.919
343000;23.627
344000;24.608
345000;23.660
346000;24.833
347000;24.203
348000;24.962
349000;25.040
350000;24.385
351000;24.443
352000;25.294
353000;25.203
354000;24.564
355000;24.541
356000;25.500
357000;25.789
358000;25.151
359000;23.989
360000;25.474
361000;25.303
362000;26.165
363000;24.901
364000;25.001
365000;26.371
366000;25.280
367000;26.066
368000;25.677
369000;25.818
370000;26.817
