instantiations;compile-time [s]
1000;0.694
2000;1.073
3000;1.496
4000;1.878
5000;2.222
6000;2.624
7000;3.004
8000;3.403
9000;3.765
10000;4.196
11000;4.592
12000;4.997
13000;5.355
14000;5.762
15000;6.219
16000;6.507
17000;6.940
18000;7.274
19000;7.739
20000;8.072
21000;8.406
22000;8.889
23000;9.209
24000;9.588
25000;10.041
26000;10.454
27000;10.937
28000;11.331
29000;11.696
30000;12.116
31000;12.380
32000;12.819
33000;13.302
34000;13.634
35000;13.984
36000;14.488
37000;14.764
38000;15.069
39000;15.587
40000;16.029
41000;16.257
42000;17.090
43000;17.083
44000;17.676
45000;17.919
46000;18.497
47000;18.760
48000;19.217
49000;19.706
50000;20.028
51000;20.463
52000;21.205
53000;21.521
54000;21.717
55000;22.076
56000;22.448
57000;22.839
58000;23.258
59000;23.628
60000;23.975
61000;24.270
62000;24.573
63000;25.298
64000;25.409
65000;25.803
66000;26.226
67000;26.559
68000;26.950
69000;27.452
70000;27.933
71000;28.139
72000;28.425
73000;29.137
74000;29.386
75000;30.196
76000;30.228
77000;30.657
78000;31.362
79000;31.006
80000;32.219
81000;32.107
82000;32.555
83000;32.993
84000;33.648
85000;33.909
86000;34.173
87000;34.515
88000;35.228
89000;35.411
90000;35.985
91000;36.176
92000;36.949
93000;36.976
94000;37.660
95000;37.813
96000;38.449
97000;38.737
98000;38.922
99000;39.584
100000;40.160
101000;40.646
102000;41.104
103000;41.363
104000;41.908
105000;42.134
106000;42.985
107000;42.979
108000;43.348
109000;43.839
110000;44.304
111000;44.348
112000;44.461
113000;44.974
114000;45.464
115000;45.650
116000;45.894
117000;46.877
118000;47.081
119000;47.515
120000;47.902
121000;48.037
122000;48.284
123000;48.777
124000;49.544
125000;49.659
126000;50.258
127000;50.474
128000;50.799
129000;51.320
130000;52.073
131000;52.132
132000;52.501
133000;52.804
134000;53.479
135000;53.165
136000;53.691
137000;54.835
138000;54.787
139000;54.777
140000;55.900
141000;55.948
142000;56.598
143000;57.056
144000;56.812
145000;57.147
146000;57.797
147000;58.610
148000;58.777
149000;59.719
150000;59.747
151000;59.756
152000;60.318
153000;60.954
154000;61.125
155000;61.860
156000;62.321
157000;63.158
158000;62.640
159000;63.337
160000;64.071
161000;64.050
162000;64.870
163000;64.860
164000;65.101
165000;65.679
166000;65.767
167000;66.702
168000;67.567
169000;67.197
170000;68.197
171000;68.893
172000;68.485
173000;68.675
174000;69.095
175000;69.205
176000;70.443
177000;71.015
178000;70.579
179000;71.193
180000;72.080
181000;71.978
182000;72.872
183000;73.719
184000;73.546
185000;73.363
186000;74.173
187000;74.263
188000;75.497
189000;76.448
190000;76.454
191000;76.932
192000;77.138
193000;77.379
194000;78.702
195000;77.891
196000;78.735
197000;79.114
198000;79.924
199000;79.912
200000;81.103
201000;80.669
202000;81.001
203000;81.580
204000;81.909
205000;81.761
206000;82.535
207000;82.634
208000;83.739
209000;83.513
210000;84.163
211000;84.293
212000;84.215
213000;85.587
214000;85.341
215000;85.983
216000;86.516
217000;87.305
218000;86.949
219000;88.076
220000;88.218
221000;88.594
222000;88.458
223000;89.354
224000;89.300
225000;89.996
226000;89.815
227000;90.738
228000;91.154
229000;91.706
230000;92.862
231000;91.858
232000;92.459
233000;93.133
234000;93.400
235000;93.634
236000;95.557
237000;95.008
238000;95.717
239000;95.138
240000;97.525
241000;96.391
242000;96.231
243000;97.411
244000;97.537
245000;97.684
246000;97.933
247000;98.613
248000;99.420
249000;98.804
250000;100.739
