instantiations;compile-time [s]
1000;0.078
2000;0.113
3000;0.152
4000;0.187
5000;0.233
6000;0.262
7000;0.312
8000;0.345
9000;0.373
10000;0.414
11000;0.455
12000;0.518
13000;0.558
14000;0.603
15000;0.622
16000;0.703
17000;0.667
18000;0.712
19000;0.762
20000;0.801
21000;0.848
22000;0.853
23000;0.921
24000;0.927
25000;1.009
26000;1.020
27000;1.041
28000;1.175
29000;1.166
30000;1.280
31000;1.267
32000;1.352
33000;1.376
34000;1.511
35000;1.415
36000;1.516
37000;1.539
38000;1.513
39000;1.592
40000;1.649
41000;1.691
42000;1.822
43000;1.835
44000;1.726
45000;1.892
46000;1.860
47000;1.985
48000;1.977
49000;2.044
50000;1.977
51000;2.135
52000;2.142
53000;2.252
54000;2.365
55000;2.231
56000;2.462
57000;2.381
58000;2.300
59000;2.366
60000;2.450
61000;2.391
62000;2.449
63000;2.641
64000;2.684
65000;2.732
66000;2.790
67000;2.746
68000;2.803
69000;2.975
70000;3.101
71000;3.036
72000;2.819
73000;3.156
74000;3.025
75000;3.280
76000;3.479
77000;3.281
78000;3.342
79000;3.152
80000;3.363
81000;3.167
82000;3.355
83000;3.477
84000;3.528
85000;3.508
86000;3.400
87000;3.718
88000;3.684
89000;3.498
90000;3.621
91000;3.827
92000;3.715
93000;3.961
94000;3.870
95000;3.951
96000;4.073
97000;4.055
98000;4.319
99000;4.491
100000;4.226
101000;4.087
102000;4.138
103000;4.152
104000;4.628
105000;4.422
106000;4.468
107000;4.517
108000;4.362
109000;4.531
110000;4.826
111000;4.688
112000;4.785
113000;4.840
114000;5.171
115000;4.723
116000;4.833
117000;4.714
118000;4.828
119000;5.195
120000;5.269
121000;5.004
122000;4.864
123000;5.335
124000;5.483
125000;5.080
126000;5.538
127000;5.381
128000;5.508
129000;5.084
130000;5.492
131000;5.576
132000;5.928
133000;5.492
134000;5.913
135000;5.903
136000;5.713
137000;6.090
138000;5.722
139000;6.143
140000;6.021
141000;5.815
142000;6.274
143000;6.354
144000;5.954
145000;5.943
146000;6.054
147000;6.606
148000;6.003
149000;6.158
150000;6.619
151000;6.979
152000;6.506
153000;6.600
154000;6.726
155000;7.098
156000;6.862
157000;6.925
158000;6.592
159000;6.768
160000;6.670
161000;6.372
162000;6.587
163000;7.012
164000;6.862
165000;7.328
166000;6.908
167000;6.810
168000;7.473
169000;7.534
170000;7.126
171000;6.878
172000;6.971
173000;6.790
174000;7.809
175000;7.246
176000;7.050
177000;7.049
178000;7.616
179000;7.418
180000;7.527
181000;7.780
182000;8.217
183000;7.318
184000;8.105
185000;7.386
186000;7.927
187000;8.276
188000;7.965
189000;8.296
190000;7.919
191000;8.062
192000;8.002
193000;8.237
194000;8.069
195000;8.006
196000;8.438
197000;8.944
198000;8.795
199000;9.096
200000;8.249
201000;8.902
202000;8.991
203000;8.632
204000;9.277
205000;8.776
206000;9.502
207000;9.089
208000;9.401
209000;9.255
210000;9.407
211000;9.109
212000;9.118
213000;9.109
214000;9.597
215000;9.881
216000;8.857
217000;9.549
218000;9.852
219000;9.962
220000;9.585
221000;9.612
222000;10.595
223000;9.240
224000;10.418
225000;9.419
226000;10.099
227000;9.719
228000;10.127
229000;10.045
230000;10.612
231000;10.585
232000;10.451
233000;9.871
234000;10.168
235000;10.151
236000;9.655
237000;10.688
238000;10.249
239000;11.229
240000;9.843
241000;9.834
242000;10.398
243000;10.667
244000;9.914
245000;10.466
246000;10.951
247000;11.197
248000;10.697
249000;10.748
250000;10.796
251000;10.655
252000;11.336
253000;10.750
254000;10.951
255000;10.919
256000;10.439
257000;11.084
258000;10.832
259000;11.058
260000;10.665
261000;11.497
262000;11.666
263000;11.670
264000;11.015
265000;11.624
266000;11.470
267000;10.741
268000;11.562
269000;11.905
270000;11.687
271000;10.958
272000;12.304
273000;11.640
274000;12.081
275000;11.975
276000;11.571
277000;11.839
278000;11.657
279000;11.886
280000;12.391
281000;11.930
282000;11.913
283000;12.717
284000;11.994
285000;12.722
286000;12.621
287000;13.305
288000;12.547
289000;12.662
290000;12.387
291000;11.929
292000;12.813
293000;12.645
294000;13.050
295000;13.372
296000;13.316
297000;13.024
298000;13.052
299000;13.542
300000;13.891
301000;12.565
302000;13.564
303000;13.553
304000;13.412
305000;13.412
306000;13.300
307000;12.886
308000;13.739
309000;13.174
310000;14.049
311000;14.597
312000;12.872
313000;13.405
314000;14.880
315000;13.807
316000;13.377
317000;13.706
318000;14.287
319000;14.407
320000;13.877
321000;13.644
322000;13.531
323000;14.435
324000;14.541
325000;13.701
326000;14.213
327000;14.769
328000;15.127
329000;14.753
330000;15.108
331000;14.895
332000;14.998
333000;14.367
334000;14.495
335000;15.238
336000;13.880
337000;14.271
338000;14.531
339000;15.200
340000;14.245
341000;15.091
342000;14.520
343000;14.787
