instantiations;compile-time [s]
1000;0.552
2000;0.796
3000;1.051
4000;1.291
5000;1.547
6000;1.817
7000;2.062
8000;2.305
9000;2.604
10000;2.816
11000;3.048
12000;3.322
13000;3.581
14000;3.794
15000;4.048
16000;4.261
17000;4.527
18000;4.771
19000;5.035
20000;5.117
21000;5.372
22000;5.666
23000;5.885
24000;6.207
25000;6.397
26000;6.662
27000;6.941
28000;7.159
29000;7.350
30000;7.504
31000;7.762
32000;7.964
33000;8.224
34000;8.505
35000;8.681
36000;9.014
37000;9.153
38000;9.461
39000;9.793
40000;9.893
41000;10.079
42000;10.660
43000;10.887
44000;11.295
45000;11.432
46000;11.794
47000;11.994
48000;12.358
49000;12.663
50000;12.884
51000;13.121
52000;13.404
53000;13.689
54000;13.894
55000;14.190
56000;14.346
57000;14.645
58000;14.806
59000;15.116
60000;15.382
61000;15.647
62000;15.939
63000;16.183
64000;16.351
65000;16.698
66000;16.995
67000;17.201
68000;17.368
69000;17.705
70000;17.824
71000;17.890
72000;18.153
73000;18.374
74000;18.623
75000;18.888
76000;19.049
77000;19.401
78000;19.695
79000;19.904
80000;20.992
81000;20.721
82000;21.143
83000;21.219
84000;21.605
85000;21.892
86000;22.172
87000;22.211
88000;22.626
89000;23.074
90000;22.892
91000;23.221
92000;23.407
93000;23.601
94000;23.864
95000;24.140
96000;24.320
97000;24.532
98000;24.760
99000;25.461
100000;25.726
101000;26.069
102000;26.507
103000;26.486
104000;26.911
105000;26.998
106000;27.385
107000;27.600
108000;28.002
109000;28.073
110000;28.226
111000;28.061
112000;28.576
113000;28.908
114000;29.030
115000;29.319
116000;29.551
117000;29.655
118000;30.056
119000;30.283
120000;30.711
121000;30.682
122000;31.028
123000;31.363
124000;31.541
125000;31.701
126000;32.203
127000;32.082
128000;32.535
129000;33.026
130000;32.954
131000;33.071
132000;33.439
133000;33.605
134000;34.037
135000;34.119
136000;34.495
137000;34.632
138000;35.050
139000;35.073
140000;35.650
141000;35.590
142000;36.148
143000;36.490
144000;36.315
145000;36.633
146000;37.093
147000;37.485
148000;37.473
149000;38.004
150000;38.542
151000;38.542
152000;38.747
153000;39.261
154000;39.205
155000;39.390
156000;39.910
157000;39.862
158000;40.632
159000;40.815
160000;40.653
161000;40.612
162000;41.399
163000;40.993
164000;41.497
165000;41.867
166000;41.869
167000;42.195
168000;42.933
169000;42.930
170000;43.391
171000;43.392
172000;44.088
173000;43.927
174000;44.114
175000;44.646
176000;44.596
177000;45.367
178000;44.947
179000;45.793
180000;46.411
181000;46.344
182000;46.735
183000;46.531
184000;47.047
185000;47.334
186000;47.786
187000;47.804
188000;48.549
189000;49.011
190000;48.415
191000;48.342
192000;49.275
193000;49.211
194000;49.925
195000;50.062
196000;50.637
197000;50.575
198000;51.178
199000;51.144
200000;51.646
201000;51.728
202000;52.231
203000;52.008
204000;52.580
205000;52.546
206000;53.047
207000;52.945
208000;53.527
209000;53.687
210000;54.402
211000;54.318
212000;53.899
213000;55.224
214000;54.590
215000;55.181
216000;55.392
217000;55.712
218000;56.105
219000;56.904
220000;56.898
221000;56.885
222000;57.084
223000;57.554
224000;57.470
225000;58.037
226000;58.509
227000;58.260
228000;58.718
229000;59.042
230000;59.305
231000;59.187
232000;59.824
233000;59.829
234000;59.920
235000;60.422
236000;60.318
237000;61.254
238000;61.103
239000;61.505
240000;61.537
241000;61.693
242000;61.636
243000;62.906
244000;62.757
245000;63.319
246000;63.432
247000;63.342
248000;63.793
249000;63.665
250000;64.249
